STATION_NOM,POLLUANT_NOM,DATE_MESURE,MESURE_H01,MESURE_H02,MESURE_H03,MESURE_H04,MESURE_H05,MESURE_H06,MESURE_H07,MESURE_H08,MESURE_H09,MESURE_H10,MESURE_H11,MESURE_H12,MESURE_H13,MESURE_H14,MESURE_H15,MESURE_H16,MESURE_H17,MESURE_H18,MESURE_H19,MESURE_H20,MESURE_H21,MESURE_H22,MESURE_H23,MESURE_H24,MES_H_MINI,MES_H_MAXI,MOYENNE_JOUR
Bordeaux - Bastide,PM10,2012-02-08,51,46,47,46,44,45,50,52,49,48,52,51,53,47,49,51,59,61,66,71,74,69,64,59,44,74,54
Bordeaux - Bastide,PM10,2012-02-09,60,59,61,64,64,65,65,69,71,70,72,77,72,71,74,73,72,72,80,123,126,119,110,96,59,126,79
Bordeaux - Bastide,PM10,2012-02-10,98,97,105,104,100,100,102,102,97,95,72,59,43,40,31,34,35,37,41,44,52,53,45,43,31,105,68
Bordeaux - Bastide,PM10,2012-02-11,43,41,39,37,35,33,34,37,40,40,50,47,48,48,45,43,41,41,50,50,47,49,48,43,33,50,43
Bordeaux - Bastide,PM10,2012-02-12,39,41,40,41,40,38,38,39,40,42,47,44,42,37,37,36,39,43,64,81,61,64,62,54,36,81,46
Bordeaux - Bastide,PM10,2012-02-13,54,49,43,41,45,54,82,96,85,116,134,115,74,66,51,36,43,52,63,106,105,94,87,73,36,134,74
Bordeaux - Bastide,PM10,2012-02-14,44,34,31,35,31,32,27,27,28,30,28,24,24,28,24,25,30,29,25,23,29,58,67,78,23,78,34
Bordeaux - Bastide,PM10,2012-02-15,49,37,35,38,37,37,40,46,51,55,63,44,39,39,30,30,32,39,31,31,33,30,26,27,26,63,38
Bordeaux - Bastide,PM10,2012-02-16,26,25,25,26,28,27,29,38,46,57,40,38,33,30,27,29,27,30,38,71,54,50,40,40,25,71,36
Bordeaux - Bastide,PM10,2012-02-17,40,40,36,37,33,32,29,42,53,48,69,45,22,21,23,21,22,25,35,51,50,72,66,60,21,72,41
Bordeaux - Bastide,PM10,2012-02-18,61,62,62,66,69,70,78,67,70,77,79,71,62,41,28,32,28,23,23,25,33,51,54,48,23,79,53
Bordeaux - Bastide,PM10,2012-02-19,42,36,32,31,25,17,14,14,8,9,13,13,16,15,15,15,14,14,18,25,34,43,52,49,8,52,24
Bordeaux - Bastide,PM10,2012-02-20,39,35,29,31,30,29,31,49,69,85,53,36,21,14,15,18,23,23,30,39,41,46,36,30,14,85,36
Bordeaux - Bastide,PM10,2012-02-21,25,27,30,33,32,33,39,58,73,70,52,37,31,30,27,28,30,40,75,124,118,76,109,101,25,124,54
Bordeaux - Bastide,PM10,2012-02-22,95,83,78,65,65,64,85,110,136,144,111,94,88,100,173,63,47,42,60,92,122,93,88,95,42,173,91
Bordeaux - Bastide,PM10,2012-02-23,92,81,81,76,72,77,90,111,121,121,114,75,62,60,59,33,21,37,64,81,60,49,51,75,21,121,73
Bordeaux - Bastide,PM10,2012-02-24,76,65,58,59,73,74,78,105,106,75,75,75,36,22,25,32,33,33,35,37,38,32,27,26,22,106,54
Bordeaux - Bastide,PM10,2012-02-25,27,22,20,20,23,22,19,19,22,28,36,42,34,37,34,28,25,22,29,30,31,37,45,39,19,45,29
