ANNEE,COMMUNE,NB_BENEFICIAIRES
2010,Commune La Brède,20
2010,Commune La Lande de Fronsac,24
2010,Commune La Rivière,NC
2010,Commune La Roquille,6
2010,Commune La Réole,84
2010,Commune La Sauve,6
2010,Commune La Teste de Buch,214
2010,Commune Labarde,7
2010,Commune Lacanau,31
2010,Commune Ladaux,NC
2010,Commune Lagorce,18
2010,Commune Lalande de Pomerol,NC
2010,Commune Lamarque,6
2010,Commune Lamothe Landerron,10
2010,Commune Landerrouat,NC
2010,Commune Landerrouet sur Ségur,NC
2010,Commune Landiras,9
2010,Commune Langoiran,12
2010,Commune Langon,106
2010,Commune Lansac,6
2010,Commune Lanton ,44
2010,Commune Lapouyade,NC
2010,Commune Laroque,NC
2010,Commune Lartigue,NC
2010,Commune Laruscade,27
2010,Commune Latresne,29
2010,Commune Lavazan,NC
2010,Commune Le Barp,43
2010,Commune Le Bouscat,226
2010,Commune Le Fieu,9
2010,Commune Le Haillan,119
2010,Commune Le Nizan,NC
2010,Commune Le Pian Médoc,55
2010,Commune Le Pian sur Garonne,NC
2010,Commune Le Porge,19
2010,Commune Le Pout,NC
2010,Commune Le Puy,NC
2010,Commune Le Taillan Médoc,96
2010,Commune Le Teich,49
2010,Commune Le Temple,NC
2010,Commune Le Tourne,NC
2010,Commune Le Tuzan,NC
2010,Commune Le Verdon sur Mer,10
2010,Commune Leogeats,10
2010,Commune Lerm et Musset,7
2010,Commune Les Artigues de Lussac,10
2010,Commune Les Billaux,NC
2010,Commune Les Eglisottes et Chalaures,25
2010,Commune Les Esseintes,NC
2010,Commune Les Lèves et Thoumeyragues,NC
2010,Commune Les Peintures,10
2010,Commune Les Salles de castillon,6
2010,Commune Lesparre Médoc,82
2010,Commune Lestiac sur Garonne,7
2010,Commune Libourne,318
2010,Commune Lignan de Bazas,NC
2010,Commune Lignan de Bordeaux,12
2010,Commune Ligueux,NC
2010,Commune Listrac Médoc,21
2010,Commune Listrac de Dureze,NC
2010,Commune Lormont,305
2010,Commune Loubens,NC
2010,Commune Louchats,6
2010,Commune Loupes,NC
2010,Commune Loupiac,7
2010,Commune Loupiac de la Réole,NC
2010,Commune Lucmau,NC
2010,Commune Ludon Médoc,39
2010,Commune Lugaignac,NC
2010,Commune Lugon et l Ile du Carney,11
2010,Commune Lugos,NC
2010,Commune Lussac,20
2010,Commune Lège Cap Ferret,79
2010,Commune Léognan,102
2010,Commune Macau,37
2010,Commune Maransin,12
2010,Commune Marcenais,NC
2010,Commune Marcheprime ,56
2010,Commune Marcillac,6
2010,Commune Margaux,16
2010,Commune Margueron,NC
2010,Commune Marimbault,NC
2010,Commune Marsas,9
2010,Commune Martignas sur Jalles,63
2010,Commune Martillac,14
2010,Commune Martres,NC
2010,Commune Masseilles,NC
2010,Commune Mauriac,NC
2010,Commune Mazion,NC
2010,Commune Mazères,7
2010,Commune Mesterrieux,NC
2010,Commune Mios,57
2010,Commune Mombrier,NC
2010,Commune Mongauzy,14
2010,Commune Monprimblanc,NC
2010,Commune Monségur,51
2010,Commune Montagne,20
2010,Commune Montignac,NC
2010,Commune Montussan,18
2010,Commune Morizès,NC
2010,Commune Mouillac,NC
2010,Commune Mouliets et Villemartin,8
2010,Commune Moulis en Médoc,16
2010,Commune Moulon,NC
2010,Commune Mourens,NC
2010,Commune Mérignac,707
2010,Commune Mérignas,NC
2010,Commune Naujac sur Mer,12
2010,Commune Naujan et Postiac,8
2010,Commune Neuffons,NC
2010,Commune Noaillan,19
2010,Commune Nérigean,14
2010,Commune Omet,NC
2010,Commune Ordonnac,NC
2010,Commune Origne,NC
2010,Commune Paillet,7
2010,Commune Parempuyre,71
2010,Commune Pauillac,99
2010,Commune Pellegrue,9
2010,Commune Pessac,599
2010,Commune Pessac sur Dordogne,NC
2010,Commune Petit Palais et Cornemps,NC
2010,Commune Peujard,18
2010,Commune Pineuilh,43
2010,Commune Plassac,NC
2010,Commune Pleine Selve,NC
2010,Commune Podensac,21
2010,Commune Pomerol,NC
2010,Commune Pompignac,13
2010,Commune Pompéjac,NC
2010,Commune Pondaurat,NC
2010,Commune Porchères,8
2010,Commune Portets,21
2010,Commune Preignac,21
2010,Commune Prignac et Marcamps,7
2010,Commune Préchac,10
2010,Commune Pugnac,18
2010,Commune Puisseguin,6
2010,Commune Pujols,9
2010,Commune Pujols sur Ciron,9
2010,Commune Puybarban,NC
2010,Commune Puynormand,NC
2010,Commune Périssac,11
2010,Commune Queyrac ,9
2010,Commune Quinsac,20
2010,Commune Rauzan,11
2010,Commune Reignac,22
2010,Commune Rimons,NC
2010,Commune Riocaud,NC
2010,Commune Rions,15
2010,Commune Roaillan,11
2010,Commune Romagne,NC
2010,Commune Roquebrune,7
2010,Commune Ruch,NC
2010,Commune Sablons,9
2010,Commune Sadirac,26
2010,Commune Saillans,NC
2010,Commune Salaunes,NC
2010,Commune Salignac,10
2010,Commune Salleboeuf,15
2010,Commune Salles,41
2010,Commune Samonac,NC
2010,Commune Saucats,11
2010,Commune Saugon,9
2010,Commune Saumos,NC
2010,Commune Sauternes,6
2010,Commune Sauveterre de Guyenne,27
2010,Commune Sauviac,NC
2010,Commune Savignac,NC
2010,Commune Savignac de l Isle,10
2010,Commune Semens,NC
2010,Commune Sendets,NC
2010,Commune Sigalens,NC
2010,Commune Sillas,NC
2010,Commune Soulac sur Mer,19
2010,Commune Soulignac,6
2010,Commune Soussac,NC
2010,Commune Soussans,12
2010,Commune St Aignan,NC
2010,Commune St Androny,6
2010,Commune St André de Cubzac,79
2010,Commune St André du Bois,NC
2010,Commune St André et Appelles,NC
2010,Commune St Antoine,NC
2010,Commune St Antoine du Queyret,NC
2010,Commune St Antoine sur l Isle,NC
2010,Commune St Aubin de Blaye,13
2010,Commune St Aubin de Médoc,41
2010,Commune St Avit St Nazaire,15
2010,Commune St Avit de Soulège,NC
2010,Commune St Brice,11
2010,Commune St Caprais de Blaye,11
2010,Commune St Caprais de Bordeaux,23
2010,Commune St Christoly Médoc,NC
2010,Commune St Christoly de Blaye,29
2010,Commune St Christophe de Double,11
2010,Commune St Christophe des Bardes,NC
2010,Commune St Cibard,NC
2010,Commune St Ciers d Abzac,14
2010,Commune St Ciers de Canesse,NC
2010,Commune St Ciers sur Gironde,35
2010,Commune St Come,NC
2010,Commune St Denis de Pile,58
2010,Commune St Emilion,20
2010,Commune St Estèphe,21
2010,Commune St Etienne de Lisse,NC
2010,Commune St Exupéry,NC
2010,Commune St Felix de Foncaude,NC
2010,Commune St Ferme,7
2010,Commune St Genès de Blaye,NC
2010,Commune St Genès de Castillon,NC
2010,Commune St Genès de Fronsac,NC
2010,Commune St Genès de Lombaud,NC
2010,Commune St Germain d Esteuil,8
2010,Commune St Germain de Grave,NC
2010,Commune St Germain de la Rivière,NC
2010,Commune St Germain du Puch,8
2010,Commune St Gervais,11
2010,Commune St Girons d'Aiguevives,12
2010,Commune St Hilaire de la Noaille,9
2010,Commune St Hilaire du Bois,NC
2010,Commune St Hippolyte,NC
2010,Commune St Jean d Illac,43
2010,Commune St Julien Beychevelle ,6
2010,Commune St Laurent d Arce,12
2010,Commune St Laurent des Combes ,NC
2010,Commune St Laurent du Bois,NC
2010,Commune St Laurent du Médoc,52
2010,Commune St Laurent du Plan,NC
2010,Commune St Loubert,NC
2010,Commune St Loubès,60
2010,Commune St Louis de Montferrand,18
2010,Commune St Léger de Balson,7
2010,Commune St Léon,NC
2010,Commune St Macaire,24
2010,Commune St Magne,13
2010,Commune St Magne de Castillon,22
2010,Commune St Maixant,23
2010,Commune St Mariens,29
2010,Commune St Martin Lacaussade,12
2010,Commune St Martin de Laye,9
2010,Commune St Martin de Sescas,7
2010,Commune St Martin du Bois,6
2010,Commune St Martin du Puy,6
2010,Commune St Michel de Castelnau,NC
2010,Commune St Michel de Fronsac,NC
2010,Commune St Michel de Lapujade,NC
2010,Commune St Michel de Rieufret,10
2010,Commune St Morillon,13
2010,Commune St Médard d Eyrans,14
2010,Commune St Médard de Guizières,26
2010,Commune St Médard en Jalles,298
2010,Commune St Palais,NC
2010,Commune St Pardon de Conques,NC
2010,Commune St Paul,12
2010,Commune St Pey d Armens,NC
2010,Commune St Pey de Castets,11
2010,Commune St Philippe d Aiguille,9
2010,Commune St Philippe du Seignal,6
2010,Commune St Pierre d Aurillac,14
2010,Commune St Pierre de Bat,NC
2010,Commune St Pierre de Mons,10
2010,Commune St Quentin de Baron,15
2010,Commune St Quentin de Caplong,NC
2010,Commune St Romain la Virvée,NC
2010,Commune St Sauveur,17
2010,Commune St Sauveur de Puynormand,NC
2010,Commune St Savin,30
2010,Commune St Selve,8
2010,Commune St Seurin de Bourg,NC
2010,Commune St Seurin de Cadourne,11
2010,Commune St Seurin de Cursac,7
2010,Commune St Seurin sur l'Isle,43
2010,Commune St Sulpice de Faleyrens,12
2010,Commune St Sulpice de Guilleragues,NC
2010,Commune St Sulpice de Pommiers,NC
2010,Commune St Sulpice et Cameyrac,40
2010,Commune St Symphorien,16
2010,Commune St Trojan,NC
2010,Commune St Vincent de Paul,14
2010,Commune St Vincent de Pertignas,NC
2010,Commune St Vivien de Blaye,NC
2010,Commune St Vivien de Monségur,NC
2010,Commune St Vivien de Médoc,14
2010,Commune St Yzan de Soudiac,29
2010,Commune St Yzans de Médoc,NC
2010,Commune Ste Colombe,NC
2010,Commune Ste Croix du Mont,NC
2010,Commune Ste Eulalie,44
2010,Commune Ste Florence,NC
2010,Commune Ste Foy la Grande,43
2010,Commune Ste Foy la Longue,NC
2010,Commune Ste Gemme,NC
2010,Commune Ste Hélène,25
2010,Commune Ste Radegonde,NC
2010,Commune Ste Terre,13
2010,Commune Tabanac,10
2010,Commune Taillecavat,NC
2010,Commune Talais,10
2010,Commune Talence,463
2010,Commune Targon,14
2010,Commune Tarnes,NC
2010,Commune Tauriac,19
2010,Commune Tayac,NC
2010,Commune Teuillac,7
2010,Commune Tizac de Curton,NC
2010,Commune Tizac de Lapouyade,NC
2010,Commune Toulenne,28
2010,Commune Tresses,47
2010,Commune Uzeste,NC
2010,Commune Valeyrac,NC
2010,Commune Vayres,25
2010,Commune Vendays Montalivet,26
2010,Commune Vensac,12
2010,Commune Verac,NC
2010,Commune Verdelais,23
2010,Commune Vertheuil,21
2010,Commune Vignonet,NC
2010,Commune Villandraut,14
2010,Commune Villegouge,16
2010,Commune Villenave d Ornon,313
2010,Commune Villenave de Rions,NC
2010,Commune Villeneuve,NC
2010,Commune Virelade,8
2010,Commune Virsac,11
2010,Commune Yvrac,21
2011,Commune Abzac,24
2011,Commune Aillas,9
2011,Commune Ambarès et Lagrave,160
2011,Commune Ambès,45
2011,Commune Andernos les Bains,111
2011,Commune Anglade,13
2011,Commune Arbanats,7
2011,Commune Arbis,NC
2011,Commune Arcachon,79
2011,Commune Arcins,NC
2011,Commune Arsac,30
2011,Commune Artigues près Bordeaux,79
2011,Commune Arveyres,19
2011,Commune Arès,39
2011,Commune Asques,NC
2011,Commune Aubiac,NC
2011,Commune Aubie et Espessas,18
2011,Commune Audenge ,55
2011,Commune Auriolles,NC
2011,Commune Auros,9
2011,Commune Avensan,27
2011,Commune Ayguemorte les Graves,12
2011,Commune Bagas,NC
2011,Commune Baigneaux,7
2011,Commune Balizac,NC
2011,Commune Barie,NC
2011,Commune Baron,8
2011,Commune Barsac,35
2011,Commune Bassanne,NC
2011,Commune Bassens,78
2011,Commune Baurech,7
2011,Commune Bayas,NC
2011,Commune Bayon sur Gironde,11
2011,Commune Bazas,45
2011,Commune Beautiran,19
2011,Commune Begadan,10
2011,Commune Beguey,17
2011,Commune Belin Beliet,51
2011,Commune Bellebat,NC
2011,Commune Bellefond,NC
2011,Commune Belvès de Castillon,NC
2011,Commune Bernos Beaulac,19
2011,Commune Berson,11
2011,Commune Berthez,NC
2011,Commune Beychac et Caillau,9
2011,Commune Bieujac,NC
2011,Commune Biganos ,109
2011,Commune Birac,NC
2011,Commune Blaignac,NC
2011,Commune Blaignan,NC
2011,Commune Blanquefort,187
2011,Commune Blasimon,18
2011,Commune Blaye,98
2011,Commune Blesignac,NC
2011,Commune Bommes,NC
2011,Commune Bonnetan,NC
2011,Commune Bonzac,NC
2011,Commune Bordeaux,2709
2011,Commune Bouliac,24
2011,Commune Bourg sur Gironde,29
2011,Commune Bourideys,NC
2011,Commune Brach,7
2011,Commune Branne,17
2011,Commune Brannens,NC
2011,Commune Braud et St Louis,27
2011,Commune Brouqueyran,NC
2011,Commune Bruges,150
2011,Commune Budos,8
2011,Commune Bègles,340
2011,Commune Cabanac et Villagrains,23
2011,Commune Cabara,NC
2011,Commune Cadarsac,NC
2011,Commune Cadaujac,47
2011,Commune Cadillac,64
2011,Commune Cadillac en Fronsadais,7
2011,Commune Camarsac,9
2011,Commune Cambes,8
2011,Commune Camblanes et Meynac,24
2011,Commune Camiac et St Denis,NC
2011,Commune Camiran,NC
2011,Commune Camps sur l Isle,6
2011,Commune Campugnan,10
2011,Commune Cantenac,13
2011,Commune Canéjan,49
2011,Commune Capian,NC
2011,Commune Caplong,NC
2011,Commune Captieux,17
2011,Commune Carbon Blanc,92
2011,Commune Carcans,18
2011,Commune Cardan,NC
