COMMUNE_EQUIPEMENT,CODE_EQUIPEMENT_PERE,EQUIPEMENT_PERE,CODE_EQUIPEMENT,EQUIPEMENT,CD_TYPE_EQUIPEMENT,TYPE_EQUIPEMENT,DATE_MAJ_EQUIPEMENT,ACTIVITE_PRATIQUE,NUM_DE_RUE,ADRESSE,CODE_POSTAL,GESTIONNAIRE,PROPRIETAIRE,ACCES_PMR,NATURE_DU_SOL,TYPE_ECLAIRAGE,LONGUEUR,LARGEUR,HAUTEUR,PROFONDEUR_MIN,PROFONDEUR_MAX,NB_VEST_ARBITRES_EQUIPEMENT,NB_DOUCHES_EQUIPEMENT,NB_PLACE_TRIBUNE_EQUIPEMENT,NB_TRIBUNES_EQUIPEMENT,NB_VEST_JEUNES_EQUIPEMENT,CAPACITE_DEBOUT_EQUIPEMENT,CAPACITE_TOTAL_EQUIPEMENT,NB_UNITE_EQUIPEMENT,UNITES_EQUIPEMENT,LONGITUDE,LATITUDE
VIRELADE                              ,,,8729,Complexe sportif Paul Faubet,80,"Complexe Sportif",,,,"CHEMIN DE MODERIS",33720,COMMUNE DE VIRELADE,COMMUNE DE VIRELADE,,,,,,,,,,,,,,,,,,,
VIRELADE                              ,8729,Complexe sportif Paul Faubet,3063,Court de tennis n°1,201,"Court de tennis",11-08-2009,,,"CHEMIN DE MODERIS",33720,COMMUNE DE VIRELADE,COMMUNE DE VIRELADE,,"Béton poreux (Quick)","Non éclairé",36,16,,,,,,,,,,,,,-0.37861955,44.666424
VIRELADE                              ,8729,Complexe sportif Paul Faubet,3064,Court de tennis n°2,201,"Court de tennis",11-08-2009,,,"CHEMIN DE MODERIS",33720,COMMUNE DE VIRELADE,COMMUNE DE VIRELADE,,"Béton poreux (Quick)","Non éclairé",36,16,,,,,1,,,1,,,,,-0.37884322,44.666355
VIRELADE                              ,,,3060,Terrain de l'Ecole Publique,202,"Plateau polyvalent (surface goudronnée: hand, basket...)",11-08-2009,,,"RUE CARAYON LA TOUR",33720,COMMUNE DE VIRELADE,COMMUNE DE VIRELADE,,"Bitumineux","Non éclairé",40,20,,,,,,,,,,,,,-0.3803236,44.664898
VIRELADE                              ,,,3067,Salle de la Mairie,503,"Salle d'activités (musique par ex.)",11-08-2009,,,"RUE DE LA MAIRIE",33720,COMMUNE DE VIRELADE,COMMUNE DE VIRELADE,,"Carrelage","Entrainement",8,8,2,,,,,,,,,,,,,
VIRELADE                              ,,,3065,Salle des Fêtes,508,"Salle des fêtes",11-08-2009,,,"PLACE DE LA HALLE",33720,COMMUNE DE VIRELADE,COMMUNE DE VIRELADE,,"Carrelage","Entrainement",21,20,6,,,,,,,,,,,,,
VIRELADE                              ,8729,Complexe sportif Paul Faubet,3061,Sautoir en longueur,814,"Sautoir en longueur et X3 sauts",11-08-2009,,,"CHEMIN DE MODERIS",33720,Commune,Commune,,"Prairie","Non éclairé",40,5,,,,,,,,,,,,,-0.37721527,44.665028
VIRELADE                              ,8729,Complexe sportif Paul Faubet,3058,Terrain de football,200,"Terrain de football",11-08-2009,,,"CHEMIN DE MODERIS",33720,Commune,Commune,,"Prairie","Non éclairé",100,62,,,,,,,,,,,,,-0.37751895,44.66583
VIRELADE                              ,8729,Complexe sportif Paul Faubet,3059,Terrain de volley ball,205,"Terrain de volley ball",11-08-2009,,,"CHEMIN DE MODERIS",33720,Commune,Commune,,"Gravier","Non éclairé",26,16,,,,,,,,,,,,,-0.37852407,44.666794
VILLENEUVE                            ,,,9473,Maison des associations ,510,"Maison des Associations",13-08-2009,,,"LE BOURG",33710,COMMUNE DE VILLENEUVE,COMMUNE DE VILLENEUVE,,"Carrelage","Entrainement",14,5,2,,,,,,,,,,,,-0.6301745,45.083046
VILLENEUVE                            ,,,1899,Salle des Fêtes,508,"Salle des fêtes",13-08-2009,,,"LE BOURG",33710,COMMUNE DE VILLENEUVE,COMMUNE DE VILLENEUVE,,"Parquet","Entrainement",15,6,4,,,,,,,,,,,,-0.6300828,45.082996
VILLENAVE DE RIONS                    ,,,8480,Complexe sportif,80,"Complexe Sportif",,,,"LE BOURG",33550,COMMUNE DE VILLENAVE DE RIONS,COMMUNE DE VILLENAVE DE RIONS,,,,,,,,,,,,,,,,,,,
VILLENAVE DE RIONS                    ,8480,Complexe sportif,6131,Tennis municipal,201,"Court de tennis",23-09-2009,,,"LE BOURG",33550,COMMUNE DE VILLENAVE DE RIONS,COMMUNE DE VILLENAVE DE RIONS,,"Béton poreux (Quick)","Non éclairé",35,18,,,,,,,,,,,,,-0.33816993,44.69134
VILLENAVE DE RIONS                    ,8480,Complexe sportif,6132,Mur d'entrainement tennis,223,"Fronton ou mur d'entrainement tennis",23-09-2009,,,"LE BOURG",33550,COMMUNE DE VILLENAVE DE RIONS,COMMUNE DE VILLENAVE DE RIONS,,"Bitumineux","Non éclairé",10,8,3,,,,,,,,,,,,-0.33805507,44.691578
VILLENAVE DE RIONS                    ,,,6134,Salle de l'Ecole communale,120,"Salle d'activités motrices",23-09-2009,,,"LE BOURG",33550,COMMUNE DE VILLENAVE DE RIONS,COMMUNE DE VILLENAVE DE RIONS,,"Synthétique","Entrainement",8,6,2,,,,,,,,,,,,-0.33484203,44.69193
VILLENAVE DE RIONS                    ,8480,Complexe sportif,6133,Salle polyvalente ,500,"Salle polyvalente (sport+socioculturelle)",23-09-2009,,,"LE BOURG",33550,COMMUNE DE VILLENAVE DE RIONS,COMMUNE DE VILLENAVE DE RIONS,,"Carrelage","Entrainement",13,12,5,,,,,,,,,,,,-0.33762535,44.691563
VILLENAVE DE RIONS                    ,8480,Complexe sportif,6129,Boulodrome n°1,215,"Terrain de pétanque",23-09-2009,,,"LE BOURG",33550,COMMUNE DE VILLENAVE DE RIONS,COMMUNE DE VILLENAVE DE RIONS,,"Gravier","Non éclairé",35,4,,,,,,,,,,,,,-0.33832243,44.691364
VILLENAVE DE RIONS                    ,8480,Complexe sportif,6130,Boulodrome n°2,215,"Terrain de pétanque",23-09-2009,,,"LE BOURG",33550,COMMUNE DE VILLENAVE DE RIONS,COMMUNE DE VILLENAVE DE RIONS,,"Gravier","Non éclairé",39,14,,,,,,,,,,,,,-0.3381745,44.691704
VILLENAVE D ORNON                     ,,,8958,Domaine Public VILLENAVE-D'ORNON,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLENAVE D ORNON                     ,8287,Complexe Sportif "Espace d'Ornon",7689,Bassin d'Apprentissage Couvert,302,"Bassin d'Apprentissage C ou DE",18-09-2009,,,"ROUTE DE LÉOGNAN",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Carrelage","Compétition",12,6,,0,0,,,,,,,,,,-0.5862234,44.755997
VILLENAVE D ORNON                     ,,,8286,Complexe P. Brossolette,80,"Complexe Sportif",,,,"RUE CARNOT",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,,,,,,,,,,,,,,,,,,
VILLENAVE D ORNON                     ,,,8287,Complexe Sportif "Espace d'Ornon",80,"Complexe Sportif",,,,"ROUTE DE LÉOGNAN",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,,,,,,,,,,,,,,,,,,
VILLENAVE D ORNON                     ,8287,Complexe Sportif "Espace d'Ornon",5008,Court de tennis n°4,201,"Court de tennis",18-09-2009,,,"ROUTE DE LÉOGNAN",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Bitumineux","Entrainement",35,18,,,,,,,,,,,,,-0.58661973,44.754635
VILLENAVE D ORNON                     ,8287,Complexe Sportif "Espace d'Ornon",5005,Court de tennis n°1,201,"Court de tennis",18-09-2009,,,"ROUTE DE LÉOGNAN",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Bitumineux","Entrainement",35,18,,,,,,,,,,,,,-0.5864072,44.75492
VILLENAVE D ORNON                     ,8287,Complexe Sportif "Espace d'Ornon",5006,Court de tennis n°2,201,"Court de tennis",18-09-2009,,,"ROUTE DE LÉOGNAN",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Bitumineux","Entrainement",35,18,,,,,,,,,,,,,-0.58637536,44.75455
VILLENAVE D ORNON                     ,8287,Complexe Sportif "Espace d'Ornon",5007,Court de tennis n°3,201,"Court de tennis",18-09-2009,,,"ROUTE DE LÉOGNAN",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Bitumineux","Entrainement",35,18,,,,,,,,,,,,,-0.5861624,44.754826
VILLENAVE D ORNON                     ,,,4996,Equipement de proximité de Sarcignan,420,"Equipement de proximité",18-09-2009,,,"RÉS SARCIGNAN CHEMIN DE GASTON",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Bitumineux","Non éclairé",32,16,,,,,,,,,,,,,-0.5782692,44.776196
VILLENAVE D ORNON                     ,,,4994,Equipement de proximité La Hontan,420,"Equipement de proximité",18-09-2009,,,"RÉS LA HONTAN RUE LOUIS POUGUET",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Synthétique","Non éclairé",30,17,,,,,,,,,,,,,-0.55166775,44.76146
VILLENAVE D ORNON                     ,8287,Complexe Sportif "Espace d'Ornon",4995,Equipement de proximité,420,"Equipement de proximité",18-09-2009,,,"ROUTE DE LÉOGNAN",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Bitumineux","Non éclairé",32,16,,,,,,,,,,,,,-0.5870602,44.756298
VILLENAVE D ORNON                     ,,,9654,Collége du Pont de la Maye,90,"Etablissement scolaire",,,8,"AVENUE DU MARECHAL LECLERC",33140,Département,Département,,,,,,,,,,,,,,,,,,,
VILLENAVE D ORNON                     ,,,8283,Collège Chambéry,90,"Etablissement scolaire",,,,"ROUTE DE LÉOGNAN",33140,Département,Département,,,,,,,,,,,,,,,,,,,
VILLENAVE D ORNON                     ,8287,Complexe Sportif "Espace d'Ornon",5009,Fronton  tennis,223,"Fronton ou mur d'entrainement tennis",18-09-2009,,,"ROUTE DE LÉOGNAN",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Béton","Non éclairé",10,9,3,,,,,,,,,,,,-0.58657587,44.755005
VILLENAVE D ORNON                     ,9654,Collége du Pont de la Maye,9655,Halle de sport couverte fermée,104,"Halle de sport",01-10-2009,,8,"AVENUE DU MARECHAL LECLERC",33140,Département,Département,,"Synthétique","Entrainement",28,17,8,,,1,2,,,2,,,,,,
VILLENAVE D ORNON                     ,8283,Collège Chambéry,5031,Halle de sport couverte fermée,104,"Halle de sport",23-07-2009,,,"ROUTE DE LÉOGNAN",33140,Département,Département,,"Bitumineux","Non éclairé",30,18,8,,,,,,,,,,,,-0.5845797,44.75548
VILLENAVE D ORNON                     ,8282,Salle polyvalente du bourg,5030,Salle associative,510,"Maison des Associations",18-09-2009,,,"AVENUE DU MARÉCHAL FOCH",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Ciment","Entrainement",11,7,3,,,,2,,,2,,,,,-0.5434543,44.76927
VILLENAVE D ORNON                     ,8287,Complexe Sportif "Espace d'Ornon",9974,Espace Sports d'Orientation,419,"Parcours d'orientation",18-09-2009,,,"ROUTE DE LÉOGNAN",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Sol naturel","Non éclairé",1950,1050,,,,,,,,,,,,,,
VILLENAVE D ORNON                     ,8287,Complexe Sportif "Espace d'Ornon",4998,Parcours santé (detruit),407,"Parcours santé ou C.R.A.P.A",22-09-2009,,,"ROUTE DE LÉOGNAN",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Sol naturel","Non éclairé",1400,1,,,,,,,,,,,,,-0.588193,44.755737
VILLENAVE D ORNON                     ,,,9450,le Skating,116,"Patinoire (patinage sur glace)",05-11-2009,,,"1 RUE SCHYLER",33140,PP,PP,,"Glace","Compétition",50,20,8,,,,,,,,,,,,,
VILLENAVE D ORNON                     ,8287,Complexe Sportif "Espace d'Ornon",7690,Pataugeoire Couverte,306,"Petit Bassin / Pataugeoire C ou DE",18-09-2009,,,"ROUTE DE LÉOGNAN",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Carrelage","Compétition",6,5,,0,0,,,,,,,,,,-0.58607566,44.755585
VILLENAVE D ORNON                     ,8287,Complexe Sportif "Espace d'Ornon",7688,Piscine Olympique couverte,301,"Piscine couverte",18-09-2009,,,"ROUTE DE LÉOGNAN",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Carrelage","Compétition",50,20,,1,3,,12,260,1,90,,1104,,8 vest coll 80 cabines 2vest handi 2 douc coll 10 douc indi,-0.5860122,44.75582
VILLENAVE D ORNON                     ,8284,Stade Trigan,4999,Piste circulaire d'athlétisme ,810,"Piste circulaire d'athlétisme",18-09-2009,,,"CHEMIN DE COUHINS",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Cendrée","Non éclairé",400,7,,,,,,,,,,,6,couloirs,-0.56475484,44.75999
VILLENAVE D ORNON                     ,8287,Complexe Sportif "Espace d'Ornon",5002,Piste de bi cross (detruit),412,"Piste de bi cross",18-09-2009,,,"ROUTE DE LÉOGNAN",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Sol naturel","Non éclairé",150,1,,,,,,,,,,,,,-0.5887419,44.753914
VILLENAVE D ORNON                     ,,,4997,Aire de Glisses Urbaines,408,"Piste de skate board, Skate Parc",18-09-2009,,,"CHEMIN DE CADAUJAC",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Bitumineux","Non éclairé",60,25,,,,,,,,,,,,,-0.5428697,44.763065
VILLENAVE D ORNON                     ,9654,Collége du Pont de la Maye,9656,Piste d'athletisme de vitesse,811,"Piste linéaire d'athlétisme",01-10-2009,,8,"AVENUE DU MARECHAL LECLERC",33140,Département,Département,,"Synthétique","Non éclairé",74,4,,,,,,,,,,,3,couloirs,,
VILLENAVE D ORNON                     ,8283,Collège Chambéry,5003,Piste d'athlétisme de vitesse,811,"Piste linéaire d'athlétisme",23-07-2009,,,"ROUTE DE LÉOGNAN",33140,Département,Département,,"Bitumineux","Non éclairé",100,5,,,,,,,,,,,4,couloirs,-0.5835514,44.755383
VILLENAVE D ORNON                     ,7883,Groupe scolaire J. Curie,4991,Plateau polyvalent  hand basket,202,"Plateau polyvalent (surface goudronnée: hand, basket...)",18-09-2009,,,"AV DU MARÉCHAL FOCH",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Bitumineux","Non éclairé",32,16,,,,,,,,,,,,,-0.54550326,44.769558
VILLENAVE D ORNON                     ,7883,Groupe scolaire J. Curie,4992,Plateau polyvalent  football,202,"Plateau polyvalent (surface goudronnée: hand, basket...)",18-09-2009,,,"AV DU MARÉCHAL FOCH",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Gazon","Non éclairé",40,20,,,,,,,,,,,,,-0.545256,44.769665
VILLENAVE D ORNON                     ,9654,Collége du Pont de la Maye,9657,Plateau Sportif Hand / Basket,202,"Plateau polyvalent (surface goudronnée: hand, basket...)",01-10-2009,,8,"AVENUE DU MARECHAL LECLERC",33140,Département,Département,,"Bitumineux","Non éclairé",40,24,,,,,,,,,,,,,,
VILLENAVE D ORNON                     ,8283,Collège Chambéry,4993,Plateau polyvalent ,202,"Plateau polyvalent (surface goudronnée: hand, basket...)",23-07-2009,,,"ROUTE DE LÉOGNAN",33140,Département,Département,,"Bitumineux","Non éclairé",40,20,,,,,2,,,2,,,,,-0.58318424,44.755608
VILLENAVE D ORNON                     ,8287,Complexe Sportif "Espace d'Ornon",5017,Salle d'art martiaux  1,110,"Salle d'art martiaux / Dojo",18-09-2009,,,"ROUTE DE LÉOGNAN",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Synthétique","Entrainement",11,11,4,,,,6,,,4,,,,,-0.5874577,44.755928
VILLENAVE D ORNON                     ,8287,Complexe Sportif "Espace d'Ornon",5018,Salle d'art martiaux 2,110,"Salle d'art martiaux / Dojo",18-09-2009,,,"ROUTE DE LÉOGNAN",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Synthétique","Entrainement",11,10,4,,,,,,,,,,,,-0.5872316,44.75595
VILLENAVE D ORNON                     ,,,8282,Salle polyvalente du bourg,10,"Salle d'éducation physique et sportive (ou complexe sportif si couvert)",,,,"AVENUE DU MARÉCHAL FOCH",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,,,,,,,,,,,,,,,,,,
VILLENAVE D ORNON                     ,,,8281,Salle Nelson Paillou,10,"Salle d'éducation physique et sportive (ou complexe sportif si couvert)",,,,"RUE DU COMANDANT MOOS",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,,,,,,,,,,,,,,,,,,
VILLENAVE D ORNON                     ,,,9685,Salle de Boxe du bourg,113,"Salle de boxe, Salle de combat",18-09-2009,,,"AVENUE DU MARECHAL FOCH",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Béton","Compétition",25,12,5,,,,,,,,,,,,,
VILLENAVE D ORNON                     ,7884,Domaine de la Junca,9745,Salle de boxe,113,"Salle de boxe, Salle de combat",18-09-2009,,,"CHEMIN DE CADAUJAC",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Synthétique","Entrainement",32,19,6,,,,2,,,2,,,,,,
VILLENAVE D ORNON                     ,8281,Salle Nelson Paillou,5016,Salle de gymnastique,111,"Salle de gymnastique",18-09-2009,,,"RUE DU COMANDANT MOOS",33140,COMMUNE DE VILLENAVE D'ORNON,COMMUNE DE VILLENAVE D'ORNON,,"Béton","Entrainement",26,16,6,,,,5,,,5,,,,,-0.56680113,44.779953
