THEMATIQUE,SUJET,TYPE,MISSION,CIBLE,DATES,INFOS_SUP
PREV,Formation,Guides composteurs,Pour la quatrième année, le Conseil Général de la Gironde propose des formations de guides composteurs aux particuliers, élus et techniciens.,Particuliers, Collectivités, Elus,9/9/11,http://www.cg33.fr/cg33/jcms/c_30383/devenez-guide-composteur
PREV,Formation,Guides composteurs,Pour la quatrième année, le Conseil Général de la Gironde propose des formations de guides composteurs aux particuliers, élus et techniciens.,Particuliers, Collectivités, Elus,9/30/11,http://www.cg33.fr/cg33/jcms/c_30383/devenez-guide-composteur
PREV,Formation,Guides composteurs,Pour la quatrième année, le Conseil Général de la Gironde propose des formations de guides composteurs aux particuliers, élus et techniciens.,Particuliers, Collectivités, Elus,10/14/11,http://www.cg33.fr/cg33/jcms/c_30383/devenez-guide-composteur
