ANNEE,COMMUNE,NB_PRESTATATION_STOCK,NB_PRESTATATION_FLUX
2012,Commune Portets,6,6
2012,Commune Camiran,NC,NC
2012,Commune Gornac,NC,NC
2012,Commune Leogeats,NC,NC
2012,Commune Hostens,NC,NC
2012,Commune Gradignan,31,34
2012,Commune Casseuil,NC,NC
2012,Commune Belin Beliet,NC,NC
2012,Commune Taillecavat,NC,NC
2012,Commune Prignac et Marcamps,NC,NC
2012,Commune Le Porge,NC,NC
2012,Commune Margueron,NC,NC
2012,Commune St Avit St Nazaire,6,6
2012,Commune Cadillac,16,18
2012,Commune Jugazan,NC,NC
2012,Commune Puisseguin,NC,NC
2012,Commune Ste Terre,NC,NC
2012,Commune Pujols,NC,NC
2012,Commune Pauillac,20,23
2012,Commune Camarsac,NC,NC
2012,Commune St Pey de Castets,NC,NC
2012,Commune Le Taillan Médoc,11,11
2012,Commune Avensan,NC,NC
