Annee,Region,id_departement,Departement,Cultures,Surfaces certifiées bio,Surfaces C1,Surfaces C2,Surfaces C3
2009,AQUITAINE,24,DORDOGNE,STH,"2234,49","452,58","143,85",0
2009,AQUITAINE,24,DORDOGNE,Vigne,"492,66","237,67","106,65","31,17"
2009,AQUITAINE,33,GIRONDE,Autres,"541,12","137,29","76,19","14,41"
2009,AQUITAINE,33,GIRONDE,Céréales,"218,6","81,94","19,49",0
2009,AQUITAINE,33,GIRONDE,Cultures fourragères,"188,45","34,84","8,06",0
2009,AQUITAINE,33,GIRONDE,Fruits,"147,52","21,86","52,06","30,23"
2009,AQUITAINE,33,GIRONDE,Légumes frais,"87,08","7,79","1,35",0
2009,AQUITAINE,33,GIRONDE,Légumes secs,"4,8",0,0,0
2009,AQUITAINE,33,GIRONDE,Oléagineux,"169,98","63,81","37,66",0
2009,AQUITAINE,33,GIRONDE,PPAM,"1,03",0,0,0
2009,AQUITAINE,33,GIRONDE,Protéagineux,"44,45",15,0,0
2009,AQUITAINE,33,GIRONDE,STH,"1178,87","204,08","163,58",0
2009,AQUITAINE,33,GIRONDE,Vigne,"1835,74","1358,92","597,55","293,34"
2009,AQUITAINE,40,LANDES,Autres,"531,3","60,58","9,13",0
2009,AQUITAINE,40,LANDES,Céréales,"767,66","106,74","43,34",0
2009,AQUITAINE,40,LANDES,Cultures fourragères,"247,65","13,29","41,09",0
2009,AQUITAINE,40,LANDES,Fruits,"29,76","8,12","0,86",0
2009,AQUITAINE,40,LANDES,Légumes frais,"495,35","1,09","5,2",0
2009,AQUITAINE,40,LANDES,Légumes secs,s,s,s,s
2009,AQUITAINE,40,LANDES,Oléagineux,"496,4","139,09","37,61",0
2009,AQUITAINE,40,LANDES,Protéagineux,"48,4",0,0,0
2009,AQUITAINE,40,LANDES,STH,"120,51","7,94","18,65",0
2009,AQUITAINE,40,LANDES,Vigne,"18,24","0,17","0,48",0
2009,AQUITAINE,47,LOT-ET-GARONNE,Autres,"945,37","311,91","58,83","0,55"
