#,$id,broader_concept,Titre du du niveau,Commentaire (description) du titre du niveau,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,
lang,,,fr,fr,fr,fr,fr,fr,fr,fr,
url,skos:Concept,skos:broader,skos:prefLabel,skos:definition,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,
type,,url,string,string,string,string,string,string,string,string,
,#12-23-8,#12-23,Le Hourc,Lieu-dit habité,"Ladaux (Gironde, France) -- Le Hourc",PAIHABIT0000000050821082,,"44,7047979010001, -0,248658151999962",,,
,#12-23-9,#12-23,Le Rouquey,Lieu-dit habité,"Ladaux (Gironde, France) -- Le Rouquey",PAIHABIT0000000050821079,,"44,70420662, -0,256971648999922",,,
,#12-24,#12,Langoiran,Commune,"Langoiran (Gironde, France)",COMMUNE00000000000032442,33226,"44.7075, -0.40111",33550,6432266,
,#12-24-1,#12-24,Maison d'enfants à caractère social Gardera,Bâtiment,"Langoiran (Gironde, France) -- Maison d'enfants à caractère social Gardera",S1531,,"44.705805, -0.365007",,,
,#12-24-10,#12-24,Sergent,Lieu-dit habité,"Langoiran (Gironde, France) -- Sergent",PAIHABIT0000000050821168,,"44,7174267890001, -0,35451493599993",,,
,#12-24-11,#12-24,Plassan,Lieu-dit habité,"Langoiran (Gironde, France) -- Plassan",PAIHABIT0000000050821201,,"44,700871266, -0,371991020999928",,,
,#12-24-12,#12-24,Graveyron,Lieu-dit habité,"Langoiran (Gironde, France) -- Graveyron",PAIHABIT0000000050821173,,"44,70837054, -0,359064945999933",,,
,#12-24-13,#12-24,Vallier,Lieu-dit habité,"Langoiran (Gironde, France) -- Vallier",PAIHABIT0000000050821229,,"44,711790062, -0,393392899999924",,,
,#12-24-14,#12-24,La Coustaude,Lieu-dit habité,"Langoiran (Gironde, France) -- La Coustaude",PAIHABIT0000000050821961,,"44,6966435100001, -0,386145185999908",,,
,#12-24-15,#12-24,Malbiche,Lieu-dit habité,"Langoiran (Gironde, France) -- Malbiche",PAIHABIT0000000050821190,,"44,7093400140001, -0,366482258999952",,,
,#12-24-16,#12-24,Le Pin,Lieu-dit habité,"Langoiran (Gironde, France) -- Le Pin",PAIHABIT0000000050821198,,"44,7082739680001, -0,376185027999952",,,
,#12-24-17,#12-24,Saint-Ourens,Lieu-dit habité,"Langoiran (Gironde, France) -- Saint-Ourens",PAIHABIT0000000050821207,,"44,7070836060001, -0,363104903999954",,,
,#12-24-18,#12-24,Martindoit,Lieu-dit habité,"Langoiran (Gironde, France) -- Martindoit",PAIHABIT0000000050821164,,"44,7148300710001, -0,358012396999925",,,
,#12-24-19,#12-24,Peybotte,Lieu-dit habité,"Langoiran (Gironde, France) -- Peybotte",PAIHABIT0000000050821179,,"44,712149809, -0,348746247999941",,,
,#12-24-2,#12-24,Le Grava,Lieu-dit habité,"Langoiran (Gironde, France) -- Le Grava",PAIHABIT0000000050821159,,"44,7150456860001, -0,349201672999925",,,
,#12-24-20,#12-24,Tifonnet,Lieu-dit habité,"Langoiran (Gironde, France) -- Tifonnet",PAIHABIT0000000050821202,,"44,7031703520001, -0,36706715999992",,,
,#12-24-21,#12-24,Beauchamp,Lieu-dit habité,"Langoiran (Gironde, France) -- Beauchamp",PAIHABIT0000000050821175,,"44,71077576, -0,358940620999931",,,
,#12-24-22,#12-24,Clos du Haut Barban,Lieu-dit habité,"Langoiran (Gironde, France) -- Clos du Haut Barban",PAIHABIT0000000050821166,,"44,7093833160001, -0,358117014999948",,,
,#12-24-23,#12-24,La Peyruche,Lieu-dit habité,"Langoiran (Gironde, France) -- La Peyruche",PAIHABIT0000000050821230,,"44,7172089810001, -0,383547103999945",,,
,#12-24-24,#12-24,Faubernet,Lieu-dit habité,"Langoiran (Gironde, France) -- Faubernet",PAIHABIT0000000050821196,,"44,7170656530001, -0,365579568999919",,,
,#12-24-25,#12-24,Le Pied du Château,Lieu-dit habité,"Langoiran (Gironde, France) -- Le Pied du Château",PAIHABIT0000000050821221,,"44,6989163370001, -0,384135367999932",,,
,#12-24-26,#12-24,Gourran,Lieu-dit habité,"Langoiran (Gironde, France) -- Gourran",PAIHABIT0000000050821163,,"44,7080003770001, -0,35579158999991",,,
,#12-24-27,#12-24,Terrasson,Lieu-dit habité,"Langoiran (Gironde, France) -- Terrasson",PAIHABIT0000000050821200,,"44,711752157, -0,376365909999947",,,
,#12-24-28,#12-24,Chauvin,Lieu-dit habité,"Langoiran (Gironde, France) -- Chauvin",PAIHABIT0000000050821197,,"44,7077818070001, -0,372791760999917",,,
,#12-24-29,#12-24,Bonnefous,Lieu-dit habité,"Langoiran (Gironde, France) -- Bonnefous",PAIHABIT0000000050821165,,"44,717164079, -0,344228310999938",,,
,#12-24-3,#12-24,Rollet,Lieu-dit habité,"Langoiran (Gironde, France) -- Rollet",PAIHABIT0000000050821204,,"44,7148444840001, -0,373745886999927",,,
,#12-24-30,#12-24,Sauvage,Lieu-dit habité,"Langoiran (Gironde, France) -- Sauvage",PAIHABIT0000000050821203,,"44,7135075320001, -0,38035093499991",,,
,#12-24-31,#12-24,Pé de Loup,Lieu-dit habité,"Langoiran (Gironde, France) -- Pé de Loup",PAIHABIT0000000050821170,,"44,7047214310001, -0,355191742999921",,,
,#12-24-32,#12-24,Tanesse,Lieu-dit habité,"Langoiran (Gironde, France) -- Tanesse",PAIHABIT0000000050821199,,"44,7031129410001, -0,379266687999916",,,
,#12-24-33,#12-24,Baylibelles,Lieu-dit habité,"Langoiran (Gironde, France) -- Baylibelles",PAIHABIT0000000050821172,,"44,7001191200001, -0,359362136999948",,,
,#12-24-34,#12-24,Le Tit,Lieu-dit habité,"Langoiran (Gironde, France) -- Le Tit",PAIHABIT0000000050821186,,"44,7024105550001, -0,361352440999951",,,
,#12-24-35,#12-24,Graman,Lieu-dit habité,"Langoiran (Gironde, France) -- Graman",PAIHABIT0000000050821213,,"44,7150871890001, -0,388542902999916",,,
,#12-24-36,#12-24,Marchès,Lieu-dit habité,"Langoiran (Gironde, France) -- Marchès",PAIHABIT0000000050821194,,"44,703687007, -0,376076643999909",,,
,#12-24-37,#12-24,Le Port,Lieu-dit habité,"Langoiran (Gironde, France) -- Le Port",PAIHABIT0000000050821220,,"44,706145216, -0,400386416999936",,,
,#12-24-38,#12-24,Le Bédat,Lieu-dit habité,"Langoiran (Gironde, France) -- Le Bédat",PAIHABIT0000000050821193,,"44,7017769240001, -0,364085389999957",,,
,#12-24-39,#12-24,Le Bertaud,Lieu-dit habité,"Langoiran (Gironde, France) -- Le Bertaud",PAIHABIT0000000050821208,,"44,703887104, -0,371227862999945",,,
,#12-24-4,#12-24,Le Haut Langoiran,Lieu-dit habité,"Langoiran (Gironde, France) -- Le Haut Langoiran",PAIHABIT0000000050821209,,"44,704102569, -0,379289467999911",,,
,#12-24-40,#12-24,Berquin,Lieu-dit habité,"Langoiran (Gironde, France) -- Berquin",PAIHABIT0000000050821214,,"44,7120068150001, -0,389731071999961",,,
,#12-24-41,#12-24,Flojeats,Lieu-dit habité,"Langoiran (Gironde, France) -- Flojeats",PAIHABIT0000000050821171,,"44,7018439710001, -0,358763863999911",,,
,#12-24-42,#12-24,Le Biac,Lieu-dit habité,"Langoiran (Gironde, France) -- Le Biac",PAIHABIT0000000050821228,,"44,70463642, -0,390823624999939",,,
,#12-24-43,#12-24,Le Gardera,Lieu-dit habité,"Langoiran (Gironde, France) -- Le Gardera",PAIHABIT0000000050821212,,"44,7006609920001, -0,38854867699996",,,
,#12-24-44,#12-24,Trincart,Lieu-dit habité,"Langoiran (Gironde, France) -- Trincart",PAIHABIT0000000050821176,,"44,7188371010001, -0,353144328999917",,,
,#12-24-45,#12-24,Bareyre,Château,"Langoiran (Gironde, France) -- Bareyre",PAIHABIT0000000050821169,,"44,7205649240001, -0,348696052999912",,,
,#12-24-46,#12-24,Le Moulin Labatut,Moulin,"Langoiran (Gironde, France) -- Le Moulin Labatut",PAIHABIT0000000050821227,,"44,7170761960001, -0,388917981999953",,,
,#12-24-47,#12-24,Couchebouc,Grange,"Langoiran (Gironde, France) -- Couchebouc",PAIHABIT0000000050821205,,"44,7116664070001, -0,371819023999933",,,
,#12-24-48,#12-24,Palus du Château Lataste,Lieu-dit non habité,"Langoiran (Gironde, France) -- Palus du Château Lataste",PAIE_NAT0000000050696109,,"44,693330378, -0,396014391999927",,,
,#12-24-49,#12-24,La Palus du Gardera,Lieu-dit non habité,"Langoiran (Gironde, France) -- La Palus du Gardera",PAIE_NAT0000000050696008,,"44,6991753040001, -0,390393544999938",,,
,#12-24-5,#12-24,Cassadou,Lieu-dit habité,"Langoiran (Gironde, France) -- Cassadou",PAIHABIT0000000050821160,,"44,7187896850001, -0,350276365999946",,,
,#12-24-6,#12-24,Le Gourdin,Lieu-dit habité,"Langoiran (Gironde, France) -- Le Gourdin",PAIHABIT0000000050821174,,"44,7105917650001, -0,363277918999927",,,
,#12-24-7,#12-24,Le Pont de Rose,Lieu-dit habité,"Langoiran (Gironde, France) -- Le Pont de Rose",PAIHABIT0000000050821222,,"44,71309324, -0,396031839999921",,,
,#12-24-8,#12-24,Laurétan,Lieu-dit habité,"Langoiran (Gironde, France) -- Laurétan",PAIHABIT0000000050821211,,"44,7038701560001, -0,381764666999914",,,
,#12-24-9,#12-24,Galoche,Lieu-dit habité,"Langoiran (Gironde, France) -- Galoche",PAIHABIT0000000050821206,,"44,7101375020001, -0,381260526999938",,,
,#12-25,#12,Laroque,Commune,"Laroque (Gironde, France)",COMMUNE00000000000016402,33231,"44.65972, -0.30444",33410,6454007,
,#12-25-1,#12-25,Embroise,Lieu-dit habité,"Laroque (Gironde, France) -- Embroise",PAIHABIT0000000050822580,,"44,6584588810001, -0,311717204999923",,,
,#12-25-10,#12-25,Le Rouchet,Lieu-dit habité,"Laroque (Gironde, France) -- Le Rouchet",PAIHABIT0000000050822588,,"44,6587604030001, -0,298404534999918",,,
,#12-25-11,#12-25,Les Baronnes,Lieu-dit habité,"Laroque (Gironde, France) -- Les Baronnes",PAIHABIT0000000050822582,,"44,6573432540001, -0,313555371999939",,,
,#12-25-12,#12-25,Justa,Lieu-dit habité,"Laroque (Gironde, France) -- Justa",PAIHABIT0000000050822578,,"44,6519374100001, -0,307488788999933",,,
,#12-25-13,#12-25,Le Moulin de Laubès,Lieu-dit habité,"Laroque (Gironde, France) -- Le Moulin de Laubès",PAIHABIT0000000050822563,,"44,6646594920001, -0,288001573999907",,,
,#12-25-14,#12-25,Boyer,Lieu-dit habité,"Laroque (Gironde, France) -- Boyer",PAIHABIT0000000050822584,,"44,6630879590001, -0,301431822999916",,,
,#12-25-15,#12-25,Les Côtes,Lieu-dit habité,"Laroque (Gironde, France) -- Les Côtes",PAIHABIT0000000050822561,,"44,6598386410001, -0,29545412199991",,,
,#12-25-16,#12-25,Hontanille,Lieu-dit non habité,"Laroque (Gironde, France) -- Hontanille",PAIE_NAT0000000333549915,,"44,6642982450001, -0,29372144599995",,,
,#12-25-2,#12-25,Basse Roque,Lieu-dit habité,"Laroque (Gironde, France) -- Basse Roque",PAIHABIT0000000050822585,,"44,6554416290001, -0,307338554999944",,,
,#12-25-3,#12-25,La Pradiasse,Lieu-dit habité,"Laroque (Gironde, France) -- La Pradiasse",PAIHABIT0000000050822608,,"44,662414863, -0,315585977999945",,,
,#12-25-4,#12-25,Trajet,Lieu-dit habité,"Laroque (Gironde, France) -- Trajet",PAIHABIT0000000050822574,,"44,659276075, -0,315147450999916",,,
,#12-25-5,#12-25,Bodart,Lieu-dit habité,"Laroque (Gironde, France) -- Bodart",PAIHABIT0000000050822587,,"44,658615173, -0,299557493999942",,,
,#12-25-6,#12-25,Peller,Lieu-dit habité,"Laroque (Gironde, France) -- Peller",PAIHABIT0000000050822586,,"44,653091138, -0,310757834999947",,,
,#12-25-7,#12-25,Tambour,Lieu-dit habité,"Laroque (Gironde, France) -- Tambour",PAIHABIT0000000050822583,,"44,6592694230001, -0,312813985999924",,,
,#12-25-8,#12-25,Carpiot,Lieu-dit habité,"Laroque (Gironde, France) -- Carpiot",PAIHABIT0000000050822562,,"44,6667021440001, -0,290668827999923",,,
,#12-25-9,#12-25,Destieu,Lieu-dit habité,"Laroque (Gironde, France) -- Destieu",PAIHABIT0000000050822577,,"44,6615062690001, -0,317459121999946",,,
,#12-26,#12,Le Pian-sur-Garonne,Commune,"Le Pian-sur-Garonne (Gironde, France)",COMMUNE00000000000007604,33323,"44.58583, -0.21194",33490,6455868,
,#12-26-1,#12-26,Collège,Bâtiment,"Le Pian-sur-Garonne (Gironde, France) -- Collège",S0346,,"44.570257, -0.228972",,,
,#12-26-10,#12-26,Laborie,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Laborie",PAIHABIT0000000050824659,,"44,5699689960001, -0,230417220999925",,,
,#12-26-11,#12-26,Corneil,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Corneil",PAIHABIT0000000050823961,,"44,5918461960001, -0,207075072999942",,,
,#12-26-12,#12-26,Lardilla,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Lardilla",PAIHABIT0000000050824663,,"44,5797536900001, -0,215605297999957",,,
,#12-26-13,#12-26,Mousseyron,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Mousseyron",PAIHABIT0000000050823986,,"44,5878722720001, -0,220129321999934",,,
,#12-26-14,#12-26,Grand Pierre,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Grand Pierre",PAIHABIT0000000050823946,,"44,5899687550001, -0,209269383999924",,,
,#12-26-15,#12-26,La Gravette,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- La Gravette",PAIHABIT0000000050824669,,"44,5822420960001, -0,217682339999953",,,
,#12-26-16,#12-26,Les Merles,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Les Merles",PAIHABIT0000000050823981,,"44,5905707380001, -0,213603243999955",,,
,#12-26-17,#12-26,Tambourin,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Tambourin",PAIHABIT0000000050824662,,"44,570252538, -0,221731406999936",,,
,#12-26-18,#12-26,La Taste,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- La Taste",PAIHABIT0000000050824664,,"44,5727346840001, -0,227194957999927",,,
,#12-26-19,#12-26,Ruat,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Ruat",PAIHABIT0000000050823982,,"44,5859743970001, -0,22705614399996",,,
,#12-26-2,#12-26,Leytoure,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Leytoure",PAIHABIT0000000050823976,,"44,5840740050001, -0,22135348799992",,,
,#12-26-20,#12-26,Trinquine,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Trinquine",PAIHABIT0000000050823962,,"44,5842473350001, -0,209614534999957",,,
,#12-26-21,#12-26,Valade,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Valade",PAIHABIT0000000050823975,,"44,5867664040001, -0,216616630999908",,,
,#12-26-22,#12-26,La Tuilerie,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- La Tuilerie",PAIHABIT0000000050823984,,"44,5926132900001, -0,219388782999943",,,
,#12-26-23,#12-26,Le Couturat,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Le Couturat",PAIHABIT0000000050823963,,"44,5876253450001, -0,209855954999909",,,
,#12-26-24,#12-26,Fonbonnet,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Fonbonnet",PAIHABIT0000000050824634,,"44,570202238, -0,209569182999928",,,
,#12-26-25,#12-26,Bel-Air,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Bel-Air",PAIHABIT0000000050824660,,"44,5822108290001, -0,230233364999947",,,
,#12-26-26,#12-26,Viaud,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Viaud",PAIHABIT0000000050823983,,"44,5908525170001, -0,220076320999908",,,
,#12-26-27,#12-26,Belle Croix,Quartier,"Le Pian-sur-Garonne (Gironde, France) -- Belle Croix",PAIHABIT0000000050824670,,"44,5693391260001, -0,215358282999944",,,
,#12-26-28,#12-26,Les Sables,Lieu-dit non habité,"Le Pian-sur-Garonne (Gironde, France) -- Les Sables",PAIE_NAT0000000050696741,,"44,5736908960001, -0,220150462999925",,,
,#12-26-29,#12-26,Le Pontet,Lieu-dit non habité,"Le Pian-sur-Garonne (Gironde, France) -- Le Pontet",PAIE_NAT0000000050696738,,"44,5793749210001, -0,22102712599991",,,
,#12-26-3,#12-26,Clavet,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Clavet",PAIHABIT0000000050823973,,"44,5881988990001, -0,213029320999908",,,
,#12-26-30,#12-26,Le Plantey,Lieu-dit non habité,"Le Pian-sur-Garonne (Gironde, France) -- Le Plantey",PAIE_NAT0000000050696740,,"44,5780033510001, -0,213057425999921",,,
,#12-26-31,#12-26,Saubon,Lieu-dit non habité,"Le Pian-sur-Garonne (Gironde, France) -- Saubon",PAIE_NAT0000000050696739,,"44,5728866600001, -0,212158434999935",,,
,#12-26-4,#12-26,La Piolette,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- La Piolette",PAIHABIT0000000050823985,,"44,597930697, -0,22214890999993",,,
,#12-26-5,#12-26,Laleyre,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Laleyre",PAIHABIT0000000050824661,,"44,5684541840001, -0,230548528999918",,,
,#12-26-6,#12-26,Rigal,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Rigal",PAIHABIT0000000050823959,,"44,592399959, -0,209971375999942",,,
,#12-26-7,#12-26,Le Bas Pian,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Le Bas Pian",PAIHABIT0000000050824668,,"44,5691625040001, -0,21133509099991",,,
,#12-26-8,#12-26,La Corne,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- La Corne",PAIHABIT0000000050823960,,"44,5944553800001, -0,209838708999939",,,
,#12-26-9,#12-26,Penot,Lieu-dit habité,"Le Pian-sur-Garonne (Gironde, France) -- Penot",PAIHABIT0000000050823987,,"44,596526667, -0,219037188999948",,,
,#12-27,#12,Le Tourne,Commune,"Le Tourne (Gironde, France)",COMMUNE00000000000006561,33534,"44.71056, -0.40111",33550,6455879,
,#12-27-1,#12-27,Le Mesnil,Lieu-dit habité,"Le Tourne (Gironde, France) -- Le Mesnil",PAIHABIT0000000050821225,,"44,7144366970001, -0,400261910999916",,,
,#12-27-10,#12-27,La Palus,Lieu-dit non habité,"Le Tourne (Gironde, France) -- La Palus",PAIE_NAT0000000050696011,,"44,7098936680001, -0,409619187999908",,,
,#12-27-11,#12-27,Carreyre,Lieu-dit non habité,"Le Tourne (Gironde, France) -- Carreyre",PAIE_NAT0000000050696009,,"44,7189732030001, -0,401662189999911",,,
,#12-27-2,#12-27,Luby,Lieu-dit habité,"Le Tourne (Gironde, France) -- Luby",PAIHABIT0000000050820332,,"44,7277507530001, -0,38447567399993",,,
,#12-27-3,#12-27,Blanchon,Lieu-dit habité,"Le Tourne (Gironde, France) -- Blanchon",PAIHABIT0000000050821216,,"44,719507966, -0,387369581999906",,,
,#12-27-4,#12-27,La Ronde,Lieu-dit habité,"Le Tourne (Gironde, France) -- La Ronde",PAIHABIT0000000050821217,,"44,7161140260001, -0,396494728999926",,,
,#12-27-5,#12-27,Château de Pic,Lieu-dit habité,"Le Tourne (Gironde, France) -- Château de Pic",PAIHABIT0000000050821226,,"44,7223836680001, -0,394098845999906",,,
,#12-27-6,#12-27,Benot,Lieu-dit habité,"Le Tourne (Gironde, France) -- Benot",PAIHABIT0000000050821233,,"44,714115581, -0,407743019999941",,,
,#12-27-7,#12-27,Les Barthes,Lieu-dit habité,"Le Tourne (Gironde, France) -- Les Barthes",PAIHABIT0000000050821215,,"44,725896543, -0,385939102999941",,,
,#12-27-8,#12-27,Peyroutie,Lieu-dit habité,"Le Tourne (Gironde, France) -- Peyroutie",PAIHABIT0000000050821236,,"44,7135107160001, -0,404558350999935",,,
,#12-27-9,#12-27,Côte Rôtie,Lieu-dit habité,"Le Tourne (Gironde, France) -- Côte Rôtie",PAIHABIT0000000050820339,,"44,7277877390001, -0,389893182999913",,,
,#12-28,#12,Lestiac-sur-Garonne,Commune,"Lestiac-sur-Garonne (Gironde, France)",COMMUNE00000000000023259,33241,"44.69306, -0.37417",33550,6432277,
,#12-28-1,#12-28,Terrey des Chardines,Lieu-dit habité,"Lestiac-sur-Garonne (Gironde, France) -- Terrey des Chardines",PAIHABIT0000000050821937,,"44,6948692250001, -0,370149588999936",,,
,#12-28-2,#12-28,La Prade,Lieu-dit habité,"Lestiac-sur-Garonne (Gironde, France) -- La Prade",PAIHABIT0000000050821934,,"44,685876545, -0,373183360999917",,,
,#12-28-3,#12-28,Plantain,Lieu-dit habité,"Lestiac-sur-Garonne (Gironde, France) -- Plantain",PAIHABIT0000000050821950,,"44,6889081050001, -0,396177099999932",,,
,#12-28-4,#12-28,Mauvert,Lieu-dit habité,"Lestiac-sur-Garonne (Gironde, France) -- Mauvert",PAIHABIT0000000050821933,,"44,6926961890001, -0,372175895999931",,,
,#12-28-5,#12-28,Marsan,Lieu-dit habité,"Lestiac-sur-Garonne (Gironde, France) -- Marsan",PAIHABIT0000000050821932,,"44,694934339, -0,375905404999912",,,
,#12-28-6,#12-28,Pinche,Lieu-dit habité,"Lestiac-sur-Garonne (Gironde, France) -- Pinche",PAIHABIT0000000050821936,,"44,688204103, -0,368540457999927",,,
,#12-28-7,#12-28,Couès Longues,Lieu-dit habité,"Lestiac-sur-Garonne (Gironde, France) -- Couès Longues",PAIHABIT0000000050821935,,"44,689273223, -0,369740044999958",,,
,#12-28-8,#12-28,La Palus,Lieu-dit non habité,"Lestiac-sur-Garonne (Gironde, France) -- La Palus",PAIE_NAT0000000050696106,,"44,6893314440001, -0,383773909999945",,,
,#12-29,#12,Loupiac,Commune,"Loupiac (Gironde, France)",COMMUNE00000000000018111,33253,"44.62778, -0.29806",33410,6616557,
,#12-29-1,#12-29,Clos Jean,Lieu-dit habité,"Loupiac (Gironde, France) -- Clos Jean",PAIHABIT0000000050823348,,"44,627939633, -0,287859107999907",,,
,#12-29-10,#12-29,Mazarin,Lieu-dit habité,"Loupiac (Gironde, France) -- Mazarin",PAIHABIT0000000050823376,,"44,6194498390001, -0,295940089999931",,,
,#12-29-11,#12-29,Roche,Lieu-dit habité,"Loupiac (Gironde, France) -- Roche",PAIHABIT0000000050823373,,"44,6270943700001, -0,306254108999951",,,
,#12-29-12,#12-29,Le Temple Gasconne,Lieu-dit habité,"Loupiac (Gironde, France) -- Le Temple Gasconne",PAIHABIT0000000050823362,,"44,6169529380001, -0,29083503499993",,,
,#12-29-13,#12-29,La Nère,Lieu-dit habité,"Loupiac (Gironde, France) -- La Nère",PAIHABIT0000000050823338,,"44,6128706060001, -0,28958504499991",,,
,#12-29-14,#12-29,Pitchat,Lieu-dit habité,"Loupiac (Gironde, France) -- Pitchat",PAIHABIT0000000050823381,,"44,6180412720001, -0,297639033999928",,,
,#12-29-15,#12-29,Massac,Lieu-dit habité,"Loupiac (Gironde, France) -- Massac",PAIHABIT0000000050823347,,"44,6210353860001, -0,291718082999921",,,
,#12-29-16,#12-29,Le Chay,Lieu-dit habité,"Loupiac (Gironde, France) -- Le Chay",PAIHABIT0000000050823345,,"44,6209113340001, -0,28146910199996",,,
,#12-29-17,#12-29,Violle,Lieu-dit habité,"Loupiac (Gironde, France) -- Violle",PAIHABIT0000000050823377,,"44,6131159810001, -0,300783287999934",,,
,#12-29-18,#12-29,Castaillon,Lieu-dit habité,"Loupiac (Gironde, France) -- Castaillon",PAIHABIT0000000050824075,,"44,6082139520001, -0,287893066999914",,,
,#12-29-19,#12-29,Rouquette,Lieu-dit habité,"Loupiac (Gironde, France) -- Rouquette",PAIHABIT0000000050823351,,"44,6356243930001, -0,286352766999926",,,
,#12-29-2,#12-29,Les Roches,Lieu-dit habité,"Loupiac (Gironde, France) -- Les Roches",PAIHABIT0000000050824098,,"44,6077521770001, -0,29592090899996",,,
,#12-29-20,#12-29,Le Noble,Lieu-dit habité,"Loupiac (Gironde, France) -- Le Noble",PAIHABIT0000000050823358,,"44,6287654990001, -0,282264597999927",,,
,#12-29-21,#12-29,Chichoy,Lieu-dit habité,"Loupiac (Gironde, France) -- Chichoy",PAIHABIT0000000050824043,,"44,6098831660001, -0,28581709599996",,,
,#12-29-22,#12-29,Barbe-Maurin,Lieu-dit habité,"Loupiac (Gironde, France) -- Barbe-Maurin",PAIHABIT0000000050823331,,"44,6385506140001, -0,272638933999929",,,
,#12-29-23,#12-29,Le Gascon,Lieu-dit habité,"Loupiac (Gironde, France) -- Le Gascon",PAIHABIT0000000050823372,,"44,628950279, -0,307286632999933",,,
,#12-29-24,#12-29,Montalier,Lieu-dit habité,"Loupiac (Gironde, France) -- Montalier",PAIHABIT0000000050823379,,"44,6158888730001, -0,295458124999925",,,
,#12-29-25,#12-29,Cros Lépine,Lieu-dit habité,"Loupiac (Gironde, France) -- Cros Lépine",PAIHABIT0000000050824099,,"44,6098387040001, -0,298979364999923",,,
,#12-29-26,#12-29,Pontac,Lieu-dit habité,"Loupiac (Gironde, France) -- Pontac",PAIHABIT0000000050823346,,"44,6228974970001, -0,291729691999933",,,
,#12-29-27,#12-29,Le Portail Rouge,Lieu-dit habité,"Loupiac (Gironde, France) -- Le Portail Rouge",PAIHABIT0000000050823380,,"44,6296442460001, -0,305353878999938",,,
,#12-29-28,#12-29,Malendure,Lieu-dit habité,"Loupiac (Gironde, France) -- Malendure",PAIHABIT0000000050823336,,"44,6326239910001, -0,288379749999933",,,
,#12-29-29,#12-29,Le Luc,Lieu-dit habité,"Loupiac (Gironde, France) -- Le Luc",PAIHABIT0000000050823353,,"44,6189915610001, -0,287641184999927",,,
,#12-29-3,#12-29,Le Moulin Neuf,Lieu-dit habité,"Loupiac (Gironde, France) -- Le Moulin Neuf",PAIHABIT0000000050823333,,"44,6370298530001, -0,269983783999919",,,
,#12-29-30,#12-29,Caillives,Lieu-dit habité,"Loupiac (Gironde, France) -- Caillives",PAIHABIT0000000050823354,,"44,6334177780001, -0,276974460999952",,,
,#12-29-31,#12-29,Hourtoye,Lieu-dit habité,"Loupiac (Gironde, France) -- Hourtoye",PAIHABIT0000000050823371,,"44,6273088070001, -0,300316216999931",,,
,#12-29-32,#12-29,Le Plapa,Lieu-dit habité,"Loupiac (Gironde, France) -- Le Plapa",PAIHABIT0000000050823374,,"44,6247839260001, -0,302793968999936",,,
,#12-29-33,#12-29,Gaudiet,Lieu-dit habité,"Loupiac (Gironde, France) -- Gaudiet",PAIHABIT0000000050823378,,"44,621658477, -0,296900662999917",,,
,#12-29-34,#12-29,Peytoupin,Lieu-dit habité,"Loupiac (Gironde, France) -- Peytoupin",PAIHABIT0000000050823361,,"44,6342735900001, -0,293561513999919",,,
,#12-29-35,#12-29,Françoye,Lieu-dit habité,"Loupiac (Gironde, France) -- Françoye",PAIHABIT0000000050823339,,"44,633689276, -0,281095174999962",,,
,#12-29-36,#12-29,Roumeau La Gravette,Lieu-dit habité,"Loupiac (Gironde, France) -- Roumeau La Gravette",PAIHABIT0000000050823357,,"44,6308184270001, -0,288647890999925",,,
,#12-29-37,#12-29,Roby,Lieu-dit habité,"Loupiac (Gironde, France) -- Roby",PAIHABIT0000000050822537,,"44,6439778120001, -0,272600791999935",,,
,#12-29-38,#12-29,Lambrot,Lieu-dit habité,"Loupiac (Gironde, France) -- Lambrot",PAIHABIT0000000050823366,,"44,614297649, -0,296152252999946",,,
