COM_N_INSEE,COM_NOM_MIN,AC_PRIX_TTC,ANNEE
33252,Loupes,"1,38",2011
33253,Loupiac,"2,50",2011
33256,Ludon-Médoc,"2,59",2011
33259,Lugon-et-L'Ile-du-Carnay,"2,74",2011
33261,Lussac,"3,20",2011
33262,Macau,"2,59",2011
33263,Madirac,"2,83",2011
33268,Margaux,"3,88",2011
33269,Margueron,"3,56",2011
33270,Marimbault,"3,2",2011
33272,Marsas,"2,74",2011
33273,Martignas-sur-Jalle,"2,9",2011
33274,Martillac,"2,85",2011
33279,Mazères,"2,7",2011
33280,Mazion,"2,74",2011
33281,Mérignac,"1,56",2011
33284,Mios,"2,19",2011
33285,Mombrier,"3,35",2011
33287,Mongauzy,"1,71",2011
33289,Monségur,"2,62",2011
33290,Montagne,"3,16",2011
33293,Montussan,"2,84",2011
33297,Moulis-en-Médoc,"3,11",2011
33298,Moulon,"1,97",2011
33301,Naujan-et-Postiac,"2,59",2011
33307,Noaillan,"3,30",2011
33311,Paillet,"2,39",2011
33312,Parempuyre,"1,56",2011
33314,Pauillac,"1,69",2011
33315,Les Peintures,"2,64",2011
33316,Pellegrue,"3,89",2011
33317,Périssac,"2,69",2011
33318,Pessac,"1,56",2011
33321,Peujard,"2,74",2011
33322,Le Pian-Médoc,"2,34",2011
33323,Le Pian-sur-Garonne,"2,81",2011
33324,Pineuilh,"3,60",2011
33325,Plassac,"1,39",2011
33326,Pleine-Selve,"2,6",2011
33327,Podensac,"2,70",2011
33328,Pomerol,"3,16",2011
33330,Pompignac,"2,84",2011
33332,Porchères,"2,79",2011
33333,Le Porge,"2,97",2011
33334,Portets,"3,39",2011
33335,Le Pout,"3,0",2011
33336,Préchac,"2,58",2011
33337,Preignac,"2,0",2011
33339,Prignac-et-Marcamps,"2,74",2011
33341,Pugnac,"3,39",2011
33342,Puisseguin,"3,16",2011
33347,Puynormand,"2,75",2011
33348,Queyrac,"2,99",2011
33349,Quinsac,"1,99",2011
33350,Rauzan,"1,86",2011
33351,Reignac,"2,81",2011
33352,La Réole,"1,84",2011
33355,Rions,"3,5",2011
33357,Roaillan,"2,1",2011
33363,Sadirac,"4,79",2011
33366,Saint-André-de-Cubzac,"2,74",2011
33369,Saint-André-et-Appelles,"3,56",2011
33371,Saint-Antoine,"2,74",2011
33373,Saint-Antoine-sur-L'Isle,"2,79",2011
33374,Saint-Aubin-de-Blaye,"2,10",2011
33375,Saint-Aubin-de-Branne,"1,66",2011
33376,Saint-Aubin-de-Médoc,"1,56",2011
33378,Saint-Avit-Saint-Nazaire,"3,60",2011
33380,Saint-Caprais-de-Blaye,"1,51",2011
33381,Saint-Caprais-de-Bordeaux,"2,87",2011
33382,Saint-Christoly-de-Blaye,"3,41",2011
33384,Saint-Christophe-Des-Bardes,"3,16",2011
33385,Saint-Christophe-de-Double,"1,33",2011
33387,Saint-Ciers-d'Abzac,"2,57",2011
33388,Saint-Ciers-de-Canesse,"3,39",2011
33389,Saint-Ciers-sur-Gironde,"2,88",2011
33392,Sainte-Croix-du-Mont,"2,41",2011
33393,Saint-Denis-de-Pile,"2,57",2011
33394,Saint-Emilion,"3,20",2011
33395,Saint-Estephe,"3,50",2011
33397,Sainte-Eulalie,"1,19",2011
33402,Sainte-Foy-la-Grande,"3,60",2011
33413,Saint-Germain-du-Puch,"3,30",2011
33415,Saint-Gervais,"2,74",2011
33417,Sainte-Hélène,"2,14",2011
33421,Saint-Jean-de-Blaignac,"2,56",2011
33422,Saint-Jean-d'Illac,"2,9",2011
33423,Saint-Julien-Beychevelle,"2,21",2011
33424,Saint-Laurent-Médoc,"2,0",2011
33425,Saint-Laurent-d'Arce,"2,74",2011
33433,Saint-Loubès,"2,84",2011
33434,Saint-Louis-de-Montferrand,"1,56",2011
33435,Saint-Macaire,"2,85",2011
33436,Saint-Magne,"2,37",2011
33437,Saint-Magne-de-Castillon,"3,20",2011
33438,Saint-Maixant,"2,85",2011
33439,Saint-Mariens,"2,64",2011
33441,Saint-Martin-Lacaussade,"3,4",2011
33444,Saint-Martin-de-Sescas,"3,75",2011
33445,Saint-Martin-du-Bois,"2,53",2011
33447,Saint-Médard-de-Guizières,"2,99",2011
33448,Saint-Médard-d'Eyrans,"2,85",2011
33449,Saint-Médard-en-Jalles,"1,56",2011
33452,Saint-Michel-de-Rieufret,"3,88",2011
33454,Saint-Morillon,"3,88",2011
33457,Saint-Pardon-de-Conques,"1,97",2011
33458,Saint-Paul,"3,1",2011
33461,Saint-Philippe-d'Aiguilhe,"3,16",2011
33462,Saint-Philippe-du-Seignal,"3,56",2011
33463,Saint-Pierre-d'Aurillac,"2,85",2011
33465,Saint-Pierre-de-Mons,"2,1",2011
33466,Saint-Quentin-de-Baron,"3,30",2011
33470,Saint-Romain-la-Virvée,"2,74",2011
33471,Saint-Sauveur,"3,50",2011
33473,Saint-Savin,"2,36",2011
33474,Saint-Selve,"3,88",2011
33475,Saint-Seurin-de-Bourg,"3,35",2011
33476,Saint-Seurin-de-Cadourne,"3,50",2011
33477,Saint-Seurin-de-Cursac,"1,72",2011
33478,Saint-Seurin-sur-L'Isle,"2,85",2011
33480,Saint-Sulpice-de-Faleyrens,"3,20",2011
33483,Saint-Sulpice-et-Cameyrac,"2,84",2011
33484,Saint-Symphorien,"1,60",2011
33485,Sainte-Terre,"3,71",2011
33487,Saint-Vincent-de-Paul,"1,56",2011
33488,Saint-Vincent-de-Pertignas,"1,31",2011
33490,Saint-Vivien-de-Médoc,"3,2",2011
33492,Saint-Yzan-de-Soudiac,"2,62",2011
33494,Salaunes,"3,7",2011
33495,Salignac,"2,74",2011
33496,Salleboeuf,"2,68",2011
33498,Salles,"2,19",2011
33500,Samonac,"3,35",2011
33501,Saucats,"3,3",2011
33504,Sauternes,"2,47",2011
33505,La Sauve,"2,75",2011
33506,Sauveterre-de-Guyenne,"1,90",2011
33507,Sauviac,"2,85",2011
33512,Sigalens,"3,4",2011
33514,Soulac-sur-Mer,"1,68",2011
33517,Soussans,"3,88",2011
33518,Tabanac,"2,1",2011
33519,Le Taillan-Médoc,"1,56",2011
33521,Talais,"3,19",2011
33522,Talence,"1,56",2011
33523,Targon,"2,75",2011
33525,Tauriac,"3,35",2011
33527,Le Teich,"2,11",2011
33529,La Teste-de-Buch,"2,11",2011
33530,Teuillac,"3,39",2011
33533,Toulenne,"1,90",2011
33534,Le Tourne,"3,23",2011
33535,Tresses,"1,72",2011
33537,Uzeste,"2,31",2011
33539,Vayres,"3,30",2011
33540,Vendays-Montalivet,"1,58",2011
33541,Vensac,"2,38",2011
33542,Vérac,"2,69",2011
33543,Verdelais,"2,85",2011
33544,Le Verdon-sur-Mer,"2,69",2011
33545,Vertheuil,"3,50",2011
33546,Vignonet,"3,16",2011
33547,Villandraut,"2,93",2011
33548,Villegouge,"2,74",2011
33550,Villenave-d'Ornon,"1,56",2011
33551,Villeneuve,"3,35",2011
33552,Virelade,"2,70",2011
33553,Virsac,"2,74",2011
33554,Yvrac,"2,84",2011
33555,Marcheprime,"2,16",2011
