OBJECTID,ID,Nom,Label,Code_SINOE,Code_Insee,MOA,Adresse_1,Adresse_2,CodePostal,Commune,Téléphone,Code_MOA,M_Adresse_1,M_Adresse_2,M_CodePostal,M_Commune,M_Téléphone,Horaires,L,M,Me,J,V,S,D,D_DV,D_FER,D_GRAV,D_ENC,D_BOIS,D_CART,D_D3E,D_PLAST,D_TEXT,D_DASRI,DD_HM,DD_PILES,DD_DMS,B_VERRE,D_PRO,ACCES_PRO,Code_Structure_Intercomm,LAT,LON
15,8,Déchèterie de Bordeaux - Bastide,Bordeaux - Bastide,76986,33063,CUB,Quai Deschamps,,33000,Bordeaux,,854,Esplanade Charles de Gaulle,,33076,BORDEAUX CEDEX,05.56.99.84.84,"du 01/04 au 30/09 : 9h00-12h30 et 13h15-19h00
du 01/10 au 01/04 : 9h00-12h30 et 13h15-18h00",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,FAUX,,28,44.833870393000041,-0.551636108999958
16,10,Déchèterie de Bordeaux - Paludate,Bordeaux - Paludate,54565,33063,CUB,Quai de Paludate,,33000,Bordeaux,,854,Esplanade Charles de Gaulle,,33076,BORDEAUX CEDEX,05.56.99.84.84,"du 01/04 au 30/09 : 9h00-12h30 et 13h15-19h00
du 01/10 au 01/04 : 9h00-12h30 et 13h15-18h00",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,,FAUX,,28,44.824850838000032,-0.545101076999970
17,9,Déchèterie de Bordeaux - Surcouf,Bordeaux - Surcouf,76670,33063,CUB,rue Surcouf,ZI Daney,33000,Bordeaux,,854,Esplanade Charles de Gaulle,,33076,BORDEAUX CEDEX,05.56.99.84.84,"du 01/04 au 30/09 : 9h00-12h30 et 13h15-19h00
du 01/10 au 01/04 : 9h00-12h30 et 13h15-18h00",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,,FAUX,,28,44.877962358000048,-0.554921644999979
18,11,Déchèterie de Bruges,Bruges,4983,33075,CUB,rue André Sarrau,Sortie 6,33520,Bruges,,854,Esplanade Charles de Gaulle,,33076,BORDEAUX CEDEX,05.56.99.84.84,"du 01/04 au 30/09 : 9h00-12h30 et 13h15-19h00
du 01/10 au 01/04 : 9h00-12h30 et 13h15-18h00",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,28,44.889217466000048,-0.620777057999931
19,155,Déchèterie de Castelnau-de-Médoc,Castelnau-de-Médoc,10777,33104,CDC MEDULLIENNE,Lieu-dit Le Mont Dore,,33480,Castelnau-de-Médoc,,6106,4 place Carnot BP 65,,33480,CASTELNAU DE MEDOC,05.56.58.65.20,"Lundi, Mercredi et vendredi : 14h à 18h
Mardi et Jeudi : 8h à 12h
Samedi : 8h à 12h  et 14h à 18h
Dimanche : 8h à 12h",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,,VRAI,,30,45.005346214000042,-0.821632825999927
20,138,Déchèterie de Cazaux,Cazaux,4010,33529,COBAS,"27, rue Marie Dufaure",,33260,La Teste-de-Buch,,17518,2 allée d'Espagne - BP147,,33311,ARCACHON CEDEX,05.56.22.33.44,"Lundi et Samedi : 8h-12h30 / 13h30-18h00
Du Mardi au Vendredi : 8h-18h00
Dimanche : 8h-12h",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,18,44.543040375000032,-1.140253577999943
21,159,Déchèterie de Cestas,Cestas,7872,33122,CDC DE CESTAS-CANEJAN,Cestas,,33610,Cestas,,2270,"2, avenue du Baron Haussmann",BP 9,33611,CESTAS CEDEX,05.56.78.84.87,"Lundi, Mardi, Mercredi et Jeudi  : 14h-18h
Vendredi : 9h-13 et 14h-18h
Samedi : 8h-12h et 13h-18h
Dimanche : 8h-13h",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,VRAI,,FAUX,,26,44.767989642000032,-0.672165254999925
22,193,Déchèterie de Cissac  ,Cissac  ,4747,33125,SMICOTOM,205 route Paradis,,33250,Cissac-Médoc,,2114,20 Zone d'Activité BP18,,33112,SAINT-LAURENT-MEDOC,05.56.73.27.40,Mardi au Samedi : 13h30-17h30,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,VRAI,,8,45.215861123000025,-0.836148923999929
23,174,Déchèterie de Coutras,Coutras,4745,33138,SMICVAL,,ZI d'Eygreteau,33230,Coutras,,16814,"8, route de la pinière",,33910,SAINT-DENIS-DE-PILE,05.57.55.39.79,"HIVER (du 02/11 au 31/01) : 9H00-12H et 13H-17H
ÉTÉ (du 01/02 au 31/10) :  9H00-12H et 14H-18H",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,41,45.033520938000038,-0.104991738999956
24,157,Déchèterie de Cussac,Cussac-Fort-Médoc,4991,33146,CDC MEDOC-ESTUAIRE,Lieu-dit Moulin de Bayron,Route de Saint-Laurent,33460,Cussac-Fort-Médoc,,6105,26 rue de l'Abbé Frémont,,33460,ARSAC,05 57 88 08 08,"Été du 1er avril au 30 septembre
Hiver du 1er octobre au 31 mars
Hiver fermeture à 17h et en été à 18h le soir
Lundi au vendredi de 13h30 à 17h
Samedi de 8h30 à 12h et de 13h30 à 17h
Dimanche de 8h30 à 12h",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,VRAI,,VRAI,,29,45.121164218000047,-0.751581964999957
