OBJECTID,ID,Nom,Label,Code_SINOE,Code_Insee,MOA,Adresse_1,Adresse_2,CodePostal,Commune,Téléphone,Code_MOA,M_Adresse_1,M_Adresse_2,M_CodePostal,M_Commune,M_Téléphone,Horaires,L,M,Me,J,V,S,D,D_DV,D_FER,D_GRAV,D_ENC,D_BOIS,D_CART,D_D3E,D_PLAST,D_TEXT,D_DASRI,DD_HM,DD_PILES,DD_DMS,B_VERRE,D_PRO,ACCES_PRO,Code_Structure_Intercomm,LAT,LON
45,151,Déchèterie de Marcheprime,Marcheprime,33674,33555,COBAN ATLANTIQUE,ZA de Réganeau,,33380,Marcheprime,,624,46 avenue des colonies,,33510,ANDERNOS LES BAINS,05.57.76.17.17,"Du lundi au Samedi : 9h-12h30 / 14h-18h30
Dimanche : 9h-12h30
",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,VRAI,VRAI,VRAI,,FAUX,,36,44.685877699000059,-0.863887398999964
46,196,Centre technique municipal,Martignas,0,0,MARTIGNAS-SUR-JALLE,Avenue du Maréchal Leclerc - Route de Magudas,,33127,Martignas-sur-Jalles,,999999,Hotel de ville - BP 12,Avenue de la République,33127,MARTIGNAS-SUR-JALLE,05.57.97.00.50,"Mardi au Samedi : 9h30 à 12h et de 13h30 à 18h. 
Fermée les jours fériés",FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,VRAI,,FAUX,,33,44.848382657000059,-0.754358336999928
47,13,Déchèterie de Mérignac,Mérignac,5420,33281,CUB,90 avenue des Marroniers,,33700,Mérignac,,854,Esplanade Charles de Gaulle,,33076,BORDEAUX CEDEX,05.56.99.84.84,"du 01/04 au 30/09 : 9h00-12h30 et 13h15-19h00
du 01/10 au 01/04 : 9h00-12h30 et 13h15-18h00",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,28,44.846538896000027,-0.688693847999957
48,153,Déchèterie de Migelan,Migelan,0,0,CDC DE MONTESQUIEU,Route de Mont de Marsan,,33850,Léognan,,2112,"1, allée Jean Rostand",,33651,MARTILLAC,05 57 96 01 20,"•Lundi à Vendredi : 13h00 - 18h00
Samedi :                     8h30 - 18h00
Dimanche :               8h30 - 13h00",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,VRAI,,VRAI,,25,44.697329582000066,-0.603934343999924
49,150,Déchèterie de Mios,Mios,2101,33284,COBAN ATLANTIQUE,Route de Lescazeilles,,33380,Mios,,624,46 avenue des colonies,,33510,ANDERNOS LES BAINS,05.57.76.17.17,"Du lundi au Samedi : 9h-12h30 / 14h-18h30
Dimanche : 9h-12h30
",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,VRAI,VRAI,VRAI,,FAUX,,36,44.632186214000058,-0.943176655999935
50,190,Déchèterie d'Ordonnac,Ordonnac,4155,33309,SMICOTOM,Pl. Plautignan,,33340,Ordonnac,,2114,20 Zone d'Activité BP18,,33112,SAINT-LAURENT-MEDOC,05.56.73.27.40,Mardi au Samedi : 8h30-12h30,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,VRAI,,8,45.305982420000078,-0.845105014999945
51,14,Déchèterie de Pessac - Beutre,Pessac - Beutre,5431,33318,CUB,Avenue de Beutre,,33600,Pessac,,854,Esplanade Charles de Gaulle,,33076,BORDEAUX CEDEX,05.56.99.84.84,"du 01/04 au 30/09 : 9h00-12h30 et 13h15-19h00
du 01/10 au 01/04 : 9h00-12h30 et 13h15-18h00",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,28,44.802341144000081,-0.686994391999974
52,15,Déchèterie de Pessac - Gutemberg,Pessac - Gutemberg,76669,33318,CUB,rue Gutenberg,,33600,Pessac,,854,Esplanade Charles de Gaulle,,33076,BORDEAUX CEDEX,05.56.99.84.84,"du 01/04 au 30/09 : 9h00-12h30 et 13h15-19h00
du 01/10 au 01/04 : 9h00-12h30 et 13h15-18h00",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,,FAUX,,28,44.786375757000030,-0.647612146999961
53,168,Déchèterie de Pineuilh,Pineuilh,5359,33324,USTOM DU CASTILLONNAIS ET DU REOLAIS,ZAE l'Arbalestrier,,33220,Pineuilh,,5484,"Hôtel de Ville 4, le bourg",,33350,BELVES DE CASTILLON,05.56.61.46.27,"lundi au samedi (sauf mardi) :
9h-12h30 et 13h30-18h",VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,,VRAI,,15,44.840233433000037,0.237646214000051
54,140,Point Vert d'Arcachon,Point Vert d'Arcachon,0,33009,COBAS,Avenue du Parc,,33120,Arcachon,,17518,2 allée d'Espagne - BP147,,33311,ARCACHON CEDEX,05.56.22.33.44,"Lundi et Samedi : 8h-12h30 / 13h30-18h30
Du Mardi au Vendredi : 8h-18h30
Dimanche : 8h-12h
",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,FAUX,,18,44.651633430000061,-1.194538008999928
55,3,Déchèterie de Pompignac,Pompignac,0,33330,SIVOM DE LA RIVE DROITE,19 avenue du Périgord,,33370,Pompignac,,1072,"Hotel de Ville 6, avenue Pasteur BP 110",,33270,FLOIRAC,05.57.80.87.00,9h15-12h30 et 14h00-17h45,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,1,44.865868555000077,-0.446337094999933
56,156,Déchèterie du Porge,Porge,75244,33333,CDC MEDULLIENNE,Les Landes de Saumos,,33480,Le Porge,,6106,4 place Carnot BP 65,,33480,CASTELNAU DE MEDOC,05.56.58.65.20,"Lundi, Mercredi et vendredi : 8h à 12h
Mardi et Jeudi : 14h à 18h
Samedi : 8h à 12h  et 14h à 18h
Dimanche : 8h à 12h",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,,VRAI,,30,44.888182240000049,-1.056515104999960
57,162,Déchèterie de Préchac,Préchac,2058,33336,CDC DE VILLANDRAUT,La Trave,,33730,Préchac,,4708,Hôtel de Ville,Place du Général de Gaulle,33730,VILLANDRAUT,05 56 25 85 55,"Mardi à Vendredi : 8h30 - 12h30
Samedi : 8h30 - 12h30 et 15h00 - 17h30",FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,FAUX,,21,44.410185612000078,-0.348349072999952
58,172,Déchèterie de Rimons,Rimons,4750,33353,USTOM DU CASTILLONNAIS ET DU REOLAIS,La Gourande,,33580,Rimons,,5484,"Hôtel de Ville 4, le bourg",,33350,BELVES DE CASTILLON,05.56.61.46.27,Mardi au samedi : 9h-12h et 14h-18h,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,,VRAI,,15,44.690061213000035,0.033757028000025
59,183,Déchèterie de Saint-aubin-de_Blaye,Saint-aubin-de-Blaye,5381,33374,SMICVAL,,"Lieu dit """"Moxenne""""",33820,Saint-Aubin-de-Blaye,,16814,"8, route de la pinière",,33910,SAINT-DENIS-DE-PILE,05.57.55.39.79,"HIVER (du 02/11 au 31/01) : 9H00-12H et 13H-17H
ÉTÉ (du 01/02 au 31/10) :  9H00-12H et 14H-18H",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,VRAI,VRAI,FAUX,VRAI,,VRAI,,41,45.260529209000026,-0.575549146999947
60,133,Déchèterie de Saint-Caprais,Saint-Caprais,3069,33381,SEMOCTOM,ZI du Limancet,,33880,Saint-Caprais-de -Bordeaux,,1261,9 route d'Allégret,,33670,SAINT LEON,05.57.34.53.20,"Lundi : 13h15 à 17h
Mardi au Samedi : 9h15 à 13h et 13h40 à 17h",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,FAUX,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,VRAI,,13,44.768263657000034,-0.435533686999975
61,178,Déchèterie de Saint-Denis-de-Pile,Saint-Denis-de-Pile,5312,0,SMICVAL,8 route de la Pinière,,33910,Saint-Denis-de-Pile,,16814,"8, route de la pinière",,33910,SAINT-DENIS-DE-PILE,05.57.55.39.79,"HIVER (du 02/11 au 31/01) : 9H00-12H et 13H-17H
ÉTÉ (du 01/02 au 31/10) :  9H00-12H et 14H-18H",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,VRAI,VRAI,VRAI,VRAI,,VRAI,,41,44.998120255000060,-0.157080002999976
62,136,Déchèterie de Saint-Germain-du-Puch,Saint-Germain-du-Puch,76627,33413,SEMOCTOM,ZI du Grand Bois Est,,33750,Saint-Germain-du-Puch,,1261,9 route d'Allégret,,33670,SAINT LEON,05.57.34.53.20,"Été (15 avril au 14 octobre) :
Mardi au Samedi : 10h à 13h et 14h à 18h15

Hiver (15 octobre au 14 avril)
Mardi au Samedi : 10h à 13h et 14h à 17h15",FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,VRAI,,13,44.839795534000075,-0.335556246999943
63,181,Déchèterie de Saint-Gervais,Saint-Gervais,5321,33415,SMICVAL,Route du Port Neuf,,33240,Saint-Gervais,,16814,"8, route de la pinière",,33910,SAINT-DENIS-DE-PILE,05.57.55.39.79,"HIVER (du 02/11 au 31/01) : 9H00-12H et 13H-17H
ÉTÉ (du 01/02 au 31/10) :  9H00-12H et 14H-18H",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,VRAI,VRAI,VRAI,VRAI,,VRAI,,41,45.010882983000045,-0.469253799999933
64,173,Déchèterie de Saint-Jean-d'Illac,Saint-Jean-d'Illac,10778,33422,SAINT-JEAN-D'ILLAC,1341 Avenue de Pierroton,,33127,Saint-Jean-d'Illac,,21532,Hôtel de Ville,"120, av du Las BP 10",33127,SAINT-JEAN-D'ILLAC,05.57.97.83.00,"lundi, mardi, jeudi, vendredi : 14h-18h
mardi, samedi et dimanche: 10-12h et 14h-18h
",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,,VRAI,,32,44.798062698000081,-0.776314072999980
65,188,Déchèterie de Saint-Laurent,Saint-Laurent,4152,33424,SMICOTOM,103 le Perganson,,33112,Saint-Laurent-Médoc,,2114,20 Zone d'Activité BP18,,33112,SAINT-LAURENT-MEDOC,05.56.73.27.40,Mardi au Samedi : 8h30-12h et 14h-17h30,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,VRAI,,8,45.157893493000074,-0.791674031999946
66,132,Déchèterie de Saint-Léon,Saint-Léon,5332,33431,SEMOCTOM,9 route d'Allegret,,33670,Saint-Léon,,1261,9 route d'Allégret,,33670,SAINT LEON,05.57.34.53.20,"Lundi : 13h15 à 17h
Mardi au Samedi : 9h15 à 13h et 13h40 à 17h",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,FAUX,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,VRAI,,13,44.766355216000079,-0.285460755999964
67,135,Déchèterie de Saint-Loubes,Saint-Loubes,5343,33433,SEMOCTOM,ZI de Lalande,,33450,Saint-Loubes,,1261,9 route d'Allégret,,33670,SAINT LEON,05.57.34.53.20,"Été (15 avril au 14 octobre) :
Mardi au Samedi : 10h à 13h et 14h à 18h15

Hiver (15 octobre au 14 avril)
Mardi au Samedi : 10h à 13h et 14h à 17h15",FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,VRAI,,13,44.926357875000065,-0.454736879999928
68,166,Déchèterie de Saint-Magne,Saint-Magne,3996,33436,CDC DU VAL DE L'EYRE,Route de Louchats,,33125,Saint-Magne,,2273,"20, route de Suzon",,33830,BELIN-BELIET,05.56.88.85.88,"Lundi : 8h30-12h30 / 13h30 - 17h30
Mercredi : 8h30 - 12h30 / 13h30 - 17h30
Vendredi : 8h30-17h30
Samedi : 8h30-12h30 / 13h30-17h30
Mardi, Jeudi, Dimanche : fermée",VRAI,FAUX,VRAI,FAUX,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,,VRAI,,19,44.522813486000075,-0.634412156999929
69,167,Déchèterie de Saint-Magne-de-Castillon,Saint-Magne-de-Castillon,4744,33437,USTOM DU CASTILLONNAIS ET DU REOLAIS,"24, chemin de
Cazeaux",,33350,Saint-Magne-de-Castillon,,5484,"Hôtel de Ville 4, le bourg",,33350,BELVES DE CASTILLON,05.56.61.46.27,du mardi au samedi : 9h-12h30 et 13h30-18h,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,,FAUX,,15,44.842493841000078,-0.072759411999925
70,184,Déchèterie de Saint-Mariens,Saint-Mariens,5276,33439,SMICVAL,2 bis Tessonneau,,33620,Saint-Mariens,,16814,"8, route de la pinière",,33910,SAINT-DENIS-DE-PILE,05.57.55.39.79,"HIVER (du 02/11 au 31/01) : 9H00-12H et 13H-17H
ÉTÉ (du 01/02 au 31/10) :  9H00-12H et 14H-18H",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,VRAI,VRAI,VRAI,VRAI,,VRAI,,41,45.114175375000059,-0.389916103999951
71,16,Déchèterie de Saint-Médard-en-Jalles,Saint-Médard-en-Jalles,5286,33449,CUB,Avenue de Touban,,33160,Saint-Médard-en-Jalles,,854,Esplanade Charles de Gaulle,,33076,BORDEAUX CEDEX,05.56.99.84.84,"du 01/04 au 30/09 : 9h00-12h30 et 13h15-19h00
du 01/10 au 01/04 : 9h00-12h30 et 13h15-18h00",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,28,44.857199685000069,-0.715486426999973
72,182,Déchèterie de Saint-Paul,Saint-Paul,5296,33458,SMICVAL,,"Lieu dit """"Fourneton""""",33390,Saint-Paul,,16814,"8, route de la pinière",,33910,SAINT-DENIS-DE-PILE,05.57.55.39.79,"HIVER (du 02/11 au 31/01) : 9H00-12H et 13H-17H
ÉTÉ (du 01/02 au 31/10) :  9H00-12H et 14H-18H",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,VRAI,VRAI,VRAI,VRAI,,VRAI,,41,45.142724678000036,-0.605743349999955
73,179,Déchèterie de Saint-Seurin-sur-l'Isle,Saint-Seurin-sur-l'Isle,2258,33478,SMICVAL,Route de Gours,,33660,Saint-Seurin-sur-l'Isle,,16814,"8, route de la pinière",,33910,SAINT-DENIS-DE-PILE,05.57.55.39.79,"HIVER (du 02/11 au 31/01) : 9H00-12H et 13H-17H
ÉTÉ (du 01/02 au 31/10) :  9H00-12H et 14H-18H",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,,FAUX,,41,45.003045485000030,0.010762333000059
74,152,Déchèterie de Saint-Symphorien,Saint-Symphorien,3979,33484,CDC DU PAYS DE PAROUPIAN,Chemin de Castelnau,,33313,Saint-Symphorien,,6048,"7, avenue Thiers",,33113,SAINT SYMPHORIEN,05.56.25.07.28,"Eté : Lundi, Mercredi et Jeudi 15h à 19h
Vendredi 8h à 12h
Samedi de 8h à 12h
Hiver : Lundi, Mercredi et Jeudi 14h à 18h
Vendredi 8h à 12h
Samedi 8h à 12h",VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,VRAI,,20,44.431964635000043,-0.487924340999939
75,171,Déchèterie de Sauveterre-de-Guyenne,Sauveterre-de-Guyenne,7887,33506,USTOM DU CASTILLONNAIS ET DU REOLAIS,Sauveterre de Guyenne,,33540,Sauveterre-de-Guyenne,,5484,"Hôtel de Ville 4, le bourg",,33350,BELVES DE CASTILLON,05.56.61.46.27,Mardi au samedi : 9h-12h et 14h-18h,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,,VRAI,,15,44.701287311000044,-0.106107716999929
76,17,Déchèterie du Taillan-Médoc,Taillan-Médoc,5307,33519,CUB,route de Saint-Aubin,,33320,Taillan-Médoc,,854,Esplanade Charles de Gaulle,,33076,BORDEAUX CEDEX,05.56.99.84.84,"du 01/04 au 30/09 : 9h00-12h30 et 13h15-19h00
du 01/10 au 01/04 : 9h00-12h30 et 13h15-18h00",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,28,44.908009899000035,-0.704647574999967
77,143,Déchèterie du Teich,Teich,4742,33527,COBAS,Avenue F. Mitterand,,33470,Le Teich,,17518,2 allée d'Espagne - BP147,,33311,ARCACHON CEDEX,05.56.22.33.44,"Lundi et Samedi : 8h-12h30 / 13h30-18h30
Du Mardi au Vendredi : 8h-18h30
Dimanche : 8h-12h
",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,18,44.620948331000079,-1.023355349999974
78,134,Déchèterie de Tresses,Tresses,7871,33535,SEMOCTOM,ZA Inay,,33370,Tresses,,1261,9 route d'Allégret,,33670,SAINT LEON,05.57.34.53.20,"Lundi : 13h15 à 17h
Mardi au Samedi : 9h15 à 13h et 13h40 à 17h",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,FAUX,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,FAUX,,13,44.835798589000035,-0.476851880999959
79,189,Déchèterie de Vensac  ,Vensac  ,4153,33541,SMICOTOM,1253 route Taste Soule,,33590,Vensac,,2114,20 Zone d'Activité BP18,,33112,SAINT-LAURENT-MEDOC,05.56.73.27.40,"Eté (semaine 10 à 35) : Mardi et Samedi 8h-12h et 14h-17h30
Mercredi, Jeudi et Vendredi 8h30-12h et 14h-17h30
Hiver (semaine 36 à 9) : Mardi au Samedi 13h30-17h30",FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,VRAI,,8,45.396747589000029,-1.063891152999929
80,176,Déchèterie de Vérac,Vérac,4746,33542,SMICVAL,,Teychères,33240,Vérac,,16814,"8, route de la pinière",,33910,SAINT-DENIS-DE-PILE,05.57.55.39.79,"HIVER (du 02/11 au 31/01) : 9H00-12H et 13H-17H
ÉTÉ (du 01/02 au 31/10) :  9H00-12H et 14H-18H",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,41,44.997405266000044,-0.358104126999933
81,186,Déchèterie du Verdon,Verdon,4158,33544,SMICOTOM,307 route de Soulac,,33123,Le Verdon-sur-mer,,2114,20 Zone d'Activité BP18,,33112,SAINT-LAURENT-MEDOC,05.56.73.27.40,Mardi au Samedi : 8h30-12h et 14h-17h30,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,VRAI,,8,45.525523546000045,-1.106706406999933
82,1,Déchèterie de Villenave-d'Ornon,Villenave-d'Ornon,5267,33550,CUB,Chemin de Galgon,,33140,Villenave-d'Ornon,,854,Esplanade Charles de Gaulle,,33076,BORDEAUX CEDEX,05.56.99.84.84,"du 01/04 au 30/09 : 9h00-12h30 et 13h15-19h00
du 01/10 au 01/04 : 9h00-12h30 et 13h15-18h00",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,28,44.783819308000034,-0.540829680999934
83,160,Déchèterie de Virelade,Virelade,5198,33552,CDC DU CANTON DE PODENSAC,Route de la Barbouze,,33720,Virelade,,200,"12, rue du Maréchal Leclerc de Hauteclocque",,33720,PODENSAC,05.56.76.38.00,"Lundi au vendredi de 13h à 18h
Samedi et dimanche de 8h30 à 13h",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,,FAUX,,40,44.643458181000028,-0.424994738999942
