NB_BENEFICIAIRES,ANNEE,COMMUNE
41,2012,Commune Neuffons
105,2012,Commune Tizac de Curton
65,2012,Commune Labarde
96,2012,Commune Pomerol
1955,2012,Commune Biganos 
577,2012,Commune Abzac
25592,2012,Commune Bordeaux
72,2012,Commune St Laurent du Bois
336,2012,Commune St Ciers d Abzac
91,2012,Commune Gabarnac
184,2012,Commune Le Tourne
171,2012,Commune Cadillac en Fronsadais
278,2012,Commune Auros
1461,2012,Commune Lège Cap Ferret
213,2012,Commune Coimères
466,2012,Commune Carcans
149,2012,Commune St Ciers de Canesse
252,2012,Commune St Magne
73,2012,Commune Croignon
237,2012,Commune Bouliac
112,2012,Commune Naujan et Postiac
106,2012,Commune St Paul
110,2012,Commune Pujols sur Ciron
377,2012,Commune Rions
434,2012,Commune Barsac
1420,2012,Commune Lesparre Médoc
41,2012,Commune St Laurent des Combes 
51,2012,Commune Les Salles de castillon
1160,2012,Commune St Denis de Pile
110,2012,Commune Le Nizan
515,2012,Commune Cérons
728,2012,Commune Cadaujac
127,2012,Commune Pessac sur Dordogne
292,2012,Commune Fargues de Langon
129,2012,Commune St Quentin de Baron
367,2012,Commune Etauliers
76,2012,Commune Cardan
36,2012,Commune Auriolles
24,2012,Commune Pleine Selve
135,2012,Commune Saucats
472,2012,Commune St Emilion
396,2012,Commune Jau Dignac et Loirac
35,2012,Commune St Vivien de Monségur
62,2012,Commune Ste Gemme
33,2012,Commune Brannens
79,2012,Commune Lugaignac
150,2012,Commune Lerm et Musset
47,2012,Commune Semens
400,2012,Commune St Louis de Montferrand
393,2012,Commune Canéjan
154,2012,Commune Lignan de Bordeaux
324,2012,Commune Listrac Médoc
24,2012,Commune St Léon
406,2012,Commune Rauzan
119,2012,Commune Eynesse
135,2012,Commune Salaunes
122,2012,Commune St Vincent de Pertignas
10,2012,Commune Ste Florence
93,2012,Commune Lalande de Pomerol
147,2012,Commune Naujac sur Mer
226,2012,Commune Quinsac
92,2012,Commune Generac
149,2012,Commune Tauriac
2374,2012,Commune Eysines
24,2012,Commune St Germain de Grave
152,2012,Commune St Seurin de Cursac
273,2012,Commune Laruscade
2083,2012,Commune Bruges
248,2012,Commune St Mariens
807,2012,Commune Lacanau
142,2012,Commune Le Fieu
175,2012,Commune Loupiac de la Réole
780,2012,Commune Ambès
77,2012,Commune St Pardon de Conques
506,2012,Commune St Vivien de Médoc
51,2012,Commune Villenave de Rions
1821,2012,Commune Blanquefort
427,2012,Commune Marcheprime 
171,2012,Commune Mazères
159,2012,Commune Loupiac
71,2012,Commune St Genès de Blaye
123,2012,Commune Les Lèves et Thoumeyragues
74,2012,Commune Baurech
975,2012,Commune Soulac sur Mer
159,2012,Commune Illats
719,2012,Commune Blaye
72,2012,Commune Balizac
24,2012,Commune Lartigue
418,2012,Commune Carignan de Bordeaux
245,2012,Commune St Laurent d Arce
42,2012,Commune Prignac en Médoc
167,2012,Commune Lapouyade
93,2012,Commune Isle St Georges
48,2012,Commune St Michel de Lapujade
42,2012,Commune Blesignac
171,2012,Commune St Christophe des Bardes
45,2012,Commune Cours les Bains
467,2012,Commune Braud et St Louis
48,2012,Commune Ladaux
10470,2012,Commune Mérignac
240,2012,Commune Anglade
57,2012,Commune Blaignac
24,2012,Commune Madirac
12,2012,Commune Bossugan
104,2012,Commune Faleyras
658,2012,Commune Castelnau du Médoc
22,2012,Commune Mérignas
64,2012,Commune Mazion
NC,2012,Commune Blaignan
220,2012,Commune Gours
170,2012,Commune Cartelègue
4909,2012,Commune Libourne
103,2012,Commune Daignac
113,2012,Commune Bommes
50,2012,Commune St Martin du Puy
262,2012,Commune St Sauveur
107,2012,Commune Peujard
258,2012,Commune St Aubin de Blaye
196,2012,Commune St Gervais
912,2012,Commune Le Haillan
115,2012,Commune St Yzans de Médoc
48,2012,Commune St Léger de Balson
184,2012,Commune Fontet
24,2012,Commune St Hilaire du Bois
295,2012,Commune Lagorce
128,2012,Commune St André et Appelles
173,2012,Commune Roaillan
186,2012,Commune Plassac
117,2012,Commune Soulignac
42,2012,Commune Aubiac
97,2012,Commune Lavazan
289,2012,Commune Les Artigues de Lussac
89,2012,Commune Les Esseintes
12,2012,Commune Coutures
60,2012,Commune St Jean de Blaignac
260,2012,Commune St Médard d Eyrans
153,2012,Commune St Morillon
93,2012,Commune Saumos
21,2012,Commune Fours
210,2012,Commune Pompignac
65,2012,Commune St Vivien de Blaye
65,2012,Commune Cabara
794,2012,Commune St Seurin sur l'Isle
40,2012,Commune Caplong
373,2012,Commune St Savin
74,2012,Commune St Pey d Armens
237,2012,Commune Cussac Fort Médoc
89,2012,Commune St Caprais de Blaye
244,2012,Commune Begadan
309,2012,Commune Gauriac
21,2012,Commune Dardenac
61,2012,Commune Arbis
168,2012,Commune Nérigean
304,2012,Commune St Caprais de Bordeaux
82,2012,Commune Massugas
647,2012,Commune Ste Eulalie
553,2012,Commune Macau
1782,2012,Commune Lanton 
75,2012,Commune Le Pout
259,2012,Commune Fronsac
1540,2012,Commune Cestas
22,2012,Commune Donzac
1320,2012,Commune Mios
85,2012,Commune Villeneuve
519,2012,Commune St Aubin de Médoc
176,2012,Commune Bieujac
30,2012,Commune Caumont
371,2012,Commune Podensac
94,2012,Commune St Sauveur de Puynormand
106,2012,Commune Castillon de Castets
59,2012,Commune St Seve
24,2012,Commune Bellefond
380,2012,Commune Reignac
423,2012,Commune Les Peintures
171,2012,Commune Vertheuil
684,2012,Commune St Sulpice et Cameyrac
62,2012,Commune Sauviac
1215,2012,Commune St André de Cubzac
176,2012,Commune Bayas
67,2012,Commune Rimons
992,2012,Commune Le Teich
63,2012,Commune St Hippolyte
32,2012,Commune Bagas
1271,2012,Commune Carbon Blanc
339,2012,Commune Préchac
75,2012,Commune Escaudes
316,2012,Commune Portets
150,2012,Commune Valeyrac
133,2012,Commune Camiran
166,2012,Commune Gornac
158,2012,Commune La Sauve
58,2012,Commune St Sulpice de Guilleragues
186,2012,Commune Leogeats
81,2012,Commune Taillecavat
877,2012,Commune Belin Beliet
241,2012,Commune Prignac et Marcamps
395,2012,Commune Le Porge
75,2012,Commune Margueron
17,2012,Commune Jugazan
180,2012,Commune Pujols
12,2012,Commune Daubeze
40,2012,Commune Camiac et St Denis
64,2012,Commune Gans
130,2012,Commune St Pey de Castets
701,2012,Commune Le Pian Médoc
305,2012,Commune Yvrac
104,2012,Commune Savignac de l Isle
45,2012,Commune Baron
686,2012,Commune St Ciers sur Gironde
51,2012,Commune St Aubin de Branne
239,2012,Commune Beguey
184,2012,Commune Flaujagues
38,2012,Commune Berthez
23,2012,Commune St Felix de Foncaude
45,2012,Commune Guillos
34,2012,Commune St Genis du Bois
12,2012,Commune Laroque
112,2012,Commune Cubzac les Ponts
82,2012,Commune La Rivière
812,2012,Commune Créon
36,2012,Commune Mesterrieux
353,2012,Commune St Sulpice de Faleyrens
84,2012,Commune Aubie et Espessas
130,2012,Commune Castres Gironde
68,2012,Commune Lansac
75,2012,Commune Landerrouet sur Ségur
79,2012,Commune Cantois
50,2012,Commune Monprimblanc
97,2012,Commune Mourens
36,2012,Commune Le Tuzan
252,2012,Commune Aillas
52,2012,Commune Le Puy
148,2012,Commune St Selve
135,2012,Commune Verac
18,2012,Commune Labescau
60,2012,Commune St Loubert
105,2012,Commune Dieulivol
73,2012,Commune Cazats
45,2012,Commune Ayguemorte les Graves
270,2012,Commune Frontenac
369,2012,Commune Salleboeuf
36,2012,Commune Listrac de Dureze
259,2012,Commune Maransin
138,2012,Commune St Christoly Médoc
85,2012,Commune Tayac
201,2012,Commune Morizès
316,2012,Commune Noaillan
72,2012,Commune Cazaugitat
103,2012,Commune Noaillac
63,2012,Commune St Brice
163,2012,Commune La Lande de Fronsac
157,2012,Commune St Seurin de Cadourne
473,2012,Commune Arveyres
24,2012,Commune Baigneaux
240,2012,Commune Lamarque
345,2012,Commune Lussac
559,2012,Commune Castets en Dorthe
53,2012,Commune Vignonet
38,2012,Commune Loubens
125,2012,Commune Puynormand
200,2012,Commune Paillet
76,2012,Commune Juillac
127,2012,Commune St Michel de Castelnau
140,2012,Commune Mongauzy
246,2012,Commune Moulis en Médoc
471,2012,Commune Sadirac
106,2012,Commune Capian
25,2012,Commune Arcins
243,2012,Commune St Martin Lacaussade
126,2012,Commune Petit Palais et Cornemps
1673,2012,Commune Bassens
135,2012,Commune Lugos
214,2012,Commune Beychac et Caillau
36,2012,Commune St Michel de Rieufret
214,2012,Commune Lugon et l Ile du Carney
160,2012,Commune St Antoine sur l Isle
341,2012,Commune Blasimon
191,2012,Commune Civrac en Médoc
55,2012,Commune St Michel de Fronsac
550,2012,Commune Gaillan en Médoc
262,2012,Commune Mouliets et Villemartin
38,2012,Commune Bellebat
456,2012,Commune St Estèphe
127,2012,Commune Périssac
161,2012,Commune St Romain la Virvée
147,2012,Commune Savignac
12,2012,Commune Bourideys
1536,2012,Commune Arès
143,2012,Commune Teuillac
24,2012,Commune Bourdelles
768,2012,Commune Hourtin
260,2012,Commune St Macaire
1278,2012,Commune Bazas
41,2012,Commune Origne
24,2012,Commune Coirac
48,2012,Commune Goualade
149,2012,Commune Néac
67,2012,Commune Ordonnac
100,2012,Commune Cessac
76,2012,Commune Pompéjac
28,2012,Commune Virsac
100,2012,Commune Ste Colombe
97,2012,Commune Lestiac sur Garonne
456,2012,Commune Langoiran
84,2012,Commune St Antoine
480,2012,Commune Queyrac 
269,2012,Commune Lamothe Landerron
90,2012,Commune Lugasson
198,2012,Commune Cudos
129,2012,Commune Campugnan
1135,2012,Commune La Réole
269,2012,Commune St Christoly de Blaye
286,2012,Commune St Pierre d Aurillac
1227,2012,Commune Pineuilh
269,2012,Commune Branne
177,2012,Commune Talais
741,2012,Commune Martignas sur Jalles
144,2012,Commune Sigalens
19,2012,Commune Ligueux
428,2012,Commune St Maixant
117,2012,Commune Marsas
56,2012,Commune Romagne
113,2012,Commune Arbanats
14,2012,Commune Coubeyrac
4045,2012,Commune Cenon
1153,2012,Commune St Loubès
37,2012,Commune St Sulpice de Pommiers
3931,2012,Commune Villenave d Ornon
303,2012,Commune Beautiran
12,2012,Commune Belvès de Castillon
107,2012,Commune St André du Bois
NC,2012,Commune Omet
49,2012,Commune Courpiac
256,2012,Commune Marcillac
31,2012,Commune St Cibard
1257,2012,Commune Castillon la Bataille
4567,2012,Commune Arcachon
48,2012,Commune Cleyrac
4170,2012,Commune St Médard en Jalles
12,2012,Commune Floudes
296,2012,Commune Grayan et L Hopital
80,2012,Commune Le Temple
31,2012,Commune Riocaud
82,2012,Commune St Genès de Castillon
686,2012,Commune Monségur
72,2012,Commune St Martin de Sescas
5892,2012,Commune Pessac
572,2012,Commune Tresses
1932,2012,Commune Ambarès et Lagrave
114,2012,Commune Eyrans
648,2012,Commune Grignols
183,2012,Commune Martillac
113,2012,Commune Ruch
56,2012,Commune Francs
118,2012,Commune Sendets
510,2012,Commune Artigues près Bordeaux
25,2012,Commune Asques
109,2012,Commune Le Pian sur Garonne
58,2012,Commune Montagoudin
116,2012,Commune Salignac
771,2012,Commune Ste Foy la Grande
401,2012,Commune Berson
60,2012,Commune Cours de Monségur
224,2012,Commune Les Billaux
31,2012,Commune Soussac
197,2012,Commune Gensac
12,2012,Commune St Genès de Lombaud
495,2012,Commune Le Barp
362,2012,Commune St Germain du Puch
479,2012,Commune Bourg sur Gironde
81,2012,Commune Couqueques
23,2012,Commune Sillas
93,2012,Commune Lucmau
61,2012,Commune St Genès de Fronsac
12,2012,Commune Cadarsac
140,2012,Commune St Ferme
35,2012,Commune St Philippe du Seignal
483,2012,Commune St Magne de Castillon
96,2012,Commune Gauriaguet
19,2012,Commune Lignan de Bazas
817,2012,Commune St Médard de Guizières
4009,2012,Commune Lormont
49,2012,Commune Bassanne
120,2012,Commune St Palais
348,2012,Commune Arsac
335,2012,Commune St Germain d Esteuil
48,2012,Commune Roquebrune
146,2012,Commune Tizac de Lapouyade
117,2012,Commune Marions
16,2012,Commune Tarnes
286,2012,Commune Cavignac
37,2012,Commune Montignac
219,2012,Commune Louchats
35,2012,Commune St Etienne de Lisse
2157,2012,Commune Coutras
431,2012,Commune Pugnac
360,2012,Commune Gironde sur Dropt
176,2012,Commune Verdelais
201,2012,Commune St Christophe de Double
24,2012,Commune Castelmoron d Albret
2185,2012,Commune Floirac
70,2012,Commune Giscos
884,2012,Commune Léognan
80,2012,Commune Mombrier
109,2012,Commune Bonnetan
654,2012,Commune St Symphorien
800,2012,Commune Parempuyre
190,2012,Commune Cissac Médoc
36,2012,Commune Landerrouat
241,2012,Commune Montussan
78,2012,Commune Espiet
101,2012,Commune St Aignan
384,2012,Commune Targon
4275,2012,Commune Le Bouscat
76,2012,Commune St Seurin de Bourg
76,2012,Commune St Trojan
179,2012,Commune Ste Croix du Mont
173,2012,Commune St Martin du Bois
60,2012,Commune St Quentin de Caplong
350,2012,Commune Bernos Beaulac
215,2012,Commune St Girons d'Aiguevives
117,2012,Commune Marcenais
1227,2012,Commune Salles
130,2012,Commune Loupes
181,2012,Commune St Philippe d Aiguille
62,2012,Commune Comps
176,2012,Commune St Vincent de Paul
166,2012,Commune Cambes
34,2012,Commune St Laurent du Plan
3465,2012,Commune Bègles
24,2012,Commune Brouqueyran
30,2012,Commune Guillac
24,2012,Commune Lados
304,2012,Commune Porchères
41,2012,Commune Civrac de Dordogne
23,2012,Commune Escoussans
431,2012,Commune La Brède
51,2012,Commune Castelviel
448,2012,Commune Margaux
17,2012,Commune Mauriac
71,2012,Commune La Roquille
240,2012,Commune Camblanes et Meynac
119,2012,Commune Camps sur l Isle
114,2012,Commune St Come
88,2012,Commune Tabanac
43,2012,Commune Gardegan et Tourtirac
87,2012,Commune Doulezon
385,2012,Commune St Yzan de Soudiac
147,2012,Commune Chamadelle
140,2012,Commune Bonzac
101,2012,Commune Uzeste
273,2012,Commune Villegouge
125,2012,Commune Cabanac et Villagrains
601,2012,Commune Les Eglisottes et Chalaures
199,2012,Commune Cubnezais
147,2012,Commune Pondaurat
492,2012,Commune Guitres
152,2012,Commune Sauternes
93,2012,Commune Budos
12,2012,Commune St Exupéry
165,2012,Commune St Julien Beychevelle 
96,2012,Commune Puybarban
183,2012,Commune Genissac
67,2012,Commune Saugon
95,2012,Commune Samonac
55,2012,Commune St Hilaire de la Noaille
551,2012,Commune St Jean d Illac
174,2012,Commune Bayon sur Gironde
164,2012,Commune Moulon
57,2012,Commune Brach
193,2012,Commune Cantenac
244,2012,Commune Donnezac
5096,2012,Commune La Teste de Buch
170,2012,Commune Grezillac
59,2012,Commune Saillans
283,2012,Commune Soussans
375,2012,Commune St Martin de Laye
39,2012,Commune St Martial
13,2012,Commune Cazalis
400,2012,Commune Hostens
2122,2012,Commune Gradignan
125,2012,Commune Casseuil
220,2012,Commune St Avit St Nazaire
510,2012,Commune Cadillac
277,2012,Commune Puisseguin
474,2012,Commune Ste Terre
1546,2012,Commune Pauillac
213,2012,Commune Camarsac
87,2012,Commune Civrac de Blaye
1122,2012,Commune Le Taillan Médoc
382,2012,Commune Avensan
120,2013,Commune St Pierre de Mons
60,2013,Commune Labarde
807,2013,Commune Izon
659,2013,Commune Captieux
61,2013,Commune Ste Radegonde
28,2013,Commune Birac
59,2013,Commune Fosses et Baleyssac
1360,2013,Commune Audenge 
239,2013,Commune Caudrot
144,2013,Commune Gajac
192,2013,Commune Cénac
310,2013,Commune Preignac
4150,2013,Commune Gujan Mestras
704,2013,Commune Ludon Médoc
425,2013,Commune Montagne
72,2013,Commune Cauvignac
2176,2013,Commune Langon
84,2013,Commune Masseilles
36,2013,Commune Mouillac
24,2013,Commune Martres
779,2013,Commune Galgon
36,2013,Commune Auriolles
302,2013,Commune Pellegrue
397,2013,Commune Vensac
396,2013,Commune Latresne
569,2013,Commune Toulenne
60,2013,Commune Cursan
2881,2013,Commune Andernos les Bains
298,2013,Commune Sablons
400,2013,Commune Landiras
969,2013,Commune Vendays Montalivet
442,2013,Commune Le Verdon sur Mer
344,2013,Commune Vayres
283,2013,Commune Fargues St Hilaire
24,2013,Commune St Martin de Lerm
725,2013,Commune Sauveterre de Guyenne
95,2013,Commune Virelade
180,2013,Commune Haux
4237,2013,Commune Talence
204,2013,Commune Hure
95,2013,Commune St Androny
1472,2013,Commune Lège Cap Ferret
90,2013,Commune Tizac de Curton
168,2013,Commune Cars
12,2013,Commune St Pierre de Bat
355,2013,Commune Cézac
28,2013,Commune Neuffons
337,2013,Commune Ste Hélène
12,2013,Commune Coutures
59,2013,Commune St Germain de la Rivière
522,2013,Commune Abzac
84,2013,Commune St Laurent du Bois
172,2013,Commune Cadillac en Fronsadais
147,2013,Commune Lignan de Bordeaux
393,2013,Commune Listrac Médoc
221,2013,Commune Coimères
2015,2013,Commune Biganos 
137,2013,Commune St Ciers de Canesse
513,2013,Commune Carcans
273,2013,Commune St Magne
282,2013,Commune Bouliac
103,2013,Commune Gabarnac
189,2013,Commune Le Tourne
257,2013,Commune Auros
1156,2013,Commune St Denis de Pile
484,2013,Commune Barsac
408,2013,Commune Rions
421,2013,Commune St Emilion
78,2013,Commune Croignon
410,2013,Commune Etauliers
87,2013,Commune Naujan et Postiac
286,2013,Commune Villandraut
36,2013,Commune St Laurent des Combes 
106,2013,Commune Pujols sur Ciron
334,2013,Commune St Ciers d Abzac
862,2013,Commune St Laurent du Médoc
24619,2013,Commune Bordeaux
124,2013,Commune St Paul
156,2013,Commune Saucats
419,2013,Commune Jau Dignac et Loirac
532,2013,Commune Cérons
48,2013,Commune Les Salles de castillon
73,2013,Commune Cardan
449,2013,Commune Marcheprime 
12,2013,Commune Pleine Selve
39,2013,Commune St Vivien de Monségur
293,2013,Commune Fargues de Langon
10,2013,Commune Marimbault
120,2013,Commune St Quentin de Baron
745,2013,Commune Cadaujac
79,2013,Commune Ste Gemme
347,2013,Commune Rauzan
110,2013,Commune Salaunes
48,2013,Commune Semens
24,2013,Commune Brannens
106,2013,Commune Lugaignac
14,2013,Commune St Léon
130,2013,Commune Lerm et Musset
121,2013,Commune Eynesse
419,2013,Commune Canéjan
431,2013,Commune St Louis de Montferrand
112,2013,Commune Le Nizan
143,2013,Commune Naujac sur Mer
262,2013,Commune Laruscade
172,2013,Commune Quinsac
103,2013,Commune Generac
100,2013,Commune St Vincent de Pertignas
2466,2013,Commune Eysines
164,2013,Commune St Gervais
116,2013,Commune Tauriac
156,2013,Commune St Seurin de Cursac
12,2013,Commune St Germain de Grave
804,2013,Commune Lacanau
182,2013,Commune St Mariens
81,2013,Commune Lalande de Pomerol
210,2013,Commune Cartelègue
51,2013,Commune Villenave de Rions
236,2013,Commune Gours
165,2013,Commune Mazères
169,2013,Commune Loupiac
639,2013,Commune Castelnau du Médoc
1969,2013,Commune Bruges
267,2013,Commune Anglade
133,2013,Commune Le Fieu
31,2013,Commune Le Tuzan
118,2013,Commune Pessac sur Dordogne
195,2013,Commune Illats
438,2013,Commune St Vivien de Médoc
1659,2013,Commune Blanquefort
14,2013,Commune Lartigue
36,2013,Commune St Michel de Lapujade
392,2013,Commune Carignan de Bordeaux
127,2013,Commune Les Lèves et Thoumeyragues
759,2013,Commune Ambès
169,2013,Commune Loupiac de la Réole
930,2013,Commune Soulac sur Mer
62,2013,Commune Baurech
84,2013,Commune St Pardon de Conques
240,2013,Commune St Laurent d Arce
94,2013,Commune Balizac
1288,2013,Commune Mios
612,2013,Commune Blaye
36,2013,Commune Ladaux
33,2013,Commune Blesignac
35,2013,Commune Prignac en Médoc
173,2013,Commune St Christophe des Bardes
265,2013,Commune St Aubin de Blaye
244,2013,Commune St Sauveur
92,2013,Commune Isle St Georges
10195,2013,Commune Mérignac
26,2013,Commune Mérignas
12,2013,Commune Bossugan
83,2013,Commune Mazion
1620,2013,Commune Lesparre Médoc
24,2013,Commune Coubeyrac
35,2013,Commune Madirac
163,2013,Commune Lapouyade
70,2013,Commune Blaignac
171,2013,Commune Fontet
493,2013,Commune Braud et St Louis
108,2013,Commune Pomerol
251,2013,Commune Pompignac
122,2013,Commune Peujard
4523,2013,Commune Libourne
82,2013,Commune Bommes
131,2013,Commune St André et Appelles
24,2013,Commune St Hilaire du Bois
103,2013,Commune Daignac
877,2013,Commune Le Haillan
97,2013,Commune St Yzans de Médoc
95,2013,Commune Soulignac
130,2013,Commune St Pey de Castets
60,2013,Commune Aubiac
305,2013,Commune Les Artigues de Lussac
238,2013,Commune Begadan
81,2013,Commune Saumos
178,2013,Commune Plassac
275,2013,Commune St Médard d Eyrans
80,2013,Commune Lavazan
60,2013,Commune Cabara
54,2013,Commune St Martin du Puy
326,2013,Commune Portets
67,2013,Commune St Jean de Blaignac
70,2013,Commune Les Esseintes
154,2013,Commune St Morillon
164,2013,Commune Roaillan
540,2013,Commune Macau
12,2013,Commune Fours
248,2013,Commune St Caprais de Bordeaux
768,2013,Commune St Seurin sur l'Isle
337,2013,Commune St Savin
72,2013,Commune St Pey d Armens
239,2013,Commune Cussac Fort Médoc
98,2013,Commune St Caprais de Blaye
1875,2013,Commune Lanton 
58,2013,Commune St Vivien de Blaye
148,2013,Commune Nérigean
63,2013,Commune Massugas
50,2013,Commune Arbis
33,2013,Commune Caplong
639,2013,Commune Ste Eulalie
271,2013,Commune Lagorce
316,2013,Commune Gauriac
NC,2013,Commune Dardenac
36,2013,Commune Donzac
383,2013,Commune Les Peintures
167,2013,Commune Bieujac
729,2013,Commune St Sulpice et Cameyrac
325,2013,Commune Podensac
1184,2013,Commune St André de Cubzac
126,2013,Commune Bayas
120,2013,Commune Castillon de Castets
49,2013,Commune Margueron
132,2013,Commune Pujols
1697,2013,Commune Cestas
84,2013,Commune Villeneuve
379,2013,Commune Reignac
36,2013,Commune Caumont
169,2013,Commune Vertheuil
84,2013,Commune Rimons
72,2013,Commune Le Pout
261,2013,Commune Fronsac
72,2013,Commune Escaudes
83,2013,Commune St Genès de Blaye
120,2013,Commune Camiran
42,2013,Commune Camiac et St Denis
202,2013,Commune Leogeats
305,2013,Commune St Sulpice de Faleyrens
263,2013,Commune Prignac et Marcamps
60,2013,Commune Taillecavat
24,2013,Commune Bellefond
920,2013,Commune Le Teich
60,2013,Commune St Hippolyte
12,2013,Commune Daubeze
332,2013,Commune Préchac
1314,2013,Commune Carbon Blanc
36,2013,Commune Bagas
144,2013,Commune Valeyrac
540,2013,Commune St Aubin de Médoc
160,2013,Commune Gornac
83,2013,Commune Gans
48,2013,Commune St Seve
37,2013,Commune St Sulpice de Guilleragues
102,2013,Commune La Sauve
864,2013,Commune Belin Beliet
99,2013,Commune St Sauveur de Puynormand
439,2013,Commune Le Porge
12,2013,Commune Jugazan
265,2013,Commune Beguey
30,2013,Commune St Aubin de Branne
112,2013,Commune Verac
36,2013,Commune Berthez
34,2013,Commune Labescau
644,2013,Commune Le Pian Médoc
114,2013,Commune Savignac de l Isle
56,2013,Commune Baron
24,2013,Commune St Genis du Bois
290,2013,Commune Puisseguin
261,2013,Commune Grayan et L Hopital
181,2013,Commune Flaujagues
48,2013,Commune Guillos
267,2013,Commune Yvrac
50,2013,Commune Sauviac
134,2013,Commune St Michel de Castelnau
36,2013,Commune Riocaud
101,2013,Commune Cubzac les Ponts
120,2013,Commune Castres Gironde
71,2013,Commune Lansac
36,2013,Commune Loubens
67,2013,Commune La Rivière
223,2013,Commune Aillas
58,2013,Commune Monprimblanc
800,2013,Commune Créon
60,2013,Commune Le Puy
101,2013,Commune Mourens
12,2013,Commune Laroque
354,2013,Commune Lussac
1178,2013,Commune Pineuilh
60,2013,Commune St Loubert
24,2013,Commune St Felix de Foncaude
88,2013,Commune Dieulivol
84,2013,Commune Cantois
84,2013,Commune Aubie et Espessas
157,2013,Commune St Selve
328,2013,Commune Blasimon
81,2013,Commune St Antoine
48,2013,Commune Cazaugitat
201,2013,Commune Paillet
530,2013,Commune La Brède
267,2013,Commune St Martin Lacaussade
48,2013,Commune Ayguemorte les Graves
158,2013,Commune St Seurin de Cadourne
196,2013,Commune Frontenac
36,2013,Commune Listrac de Dureze
240,2013,Commune Lamarque
263,2013,Commune Maransin
122,2013,Commune St Christoly Médoc
72,2013,Commune Landerrouet sur Ségur
54,2013,Commune Ordonnac
67,2013,Commune Vignonet
96,2013,Commune Noaillac
98,2013,Commune Tayac
313,2013,Commune Noaillan
48,2013,Commune Cazats
49,2013,Commune St Brice
530,2013,Commune Arveyres
14,2013,Commune Baigneaux
36,2013,Commune Mesterrieux
509,2013,Commune Castets en Dorthe
353,2013,Commune Salleboeuf
265,2013,Commune Moulis en Médoc
203,2013,Commune Lugon et l Ile du Carney
132,2013,Commune Puynormand
48,2013,Commune St Léger de Balson
466,2013,Commune Sadirac
52,2013,Commune Arcins
1544,2013,Commune Arès
131,2013,Commune La Lande de Fronsac
83,2013,Commune Juillac
157,2013,Commune St Antoine sur l Isle
76,2013,Commune Capian
747,2013,Commune St Ciers sur Gironde
110,2013,Commune Petit Palais et Cornemps
1604,2013,Commune Bassens
144,2013,Commune Mongauzy
165,2013,Commune Lugos
24,2013,Commune Bourdelles
36,2013,Commune St Michel de Rieufret
227,2013,Commune Beychac et Caillau
184,2013,Commune Périssac
275,2013,Commune St Christoly de Blaye
304,2013,Commune St Macaire
176,2013,Commune Civrac en Médoc
92,2013,Commune Ste Colombe
12,2013,Commune Bourideys
139,2013,Commune Savignac
83,2013,Commune St Michel de Fronsac
492,2013,Commune Gaillan en Médoc
222,2013,Commune Montussan
433,2013,Commune St Estèphe
38,2013,Commune Cours les Bains
833,2013,Commune Hourtin
44,2013,Commune Origne
93,2013,Commune Faleyras
189,2013,Commune Teuillac
129,2013,Commune St André du Bois
63,2013,Commune Cessac
156,2013,Commune St Romain la Virvée
14,2013,Commune Coirac
433,2013,Commune Langoiran
36,2013,Commune Virsac
36,2013,Commune Goualade
164,2013,Commune Néac
82,2013,Commune Lugasson
273,2013,Commune Lamothe Landerron
142,2013,Commune Campugnan
84,2013,Commune Pompéjac
194,2013,Commune Morizès
248,2013,Commune Mouliets et Villemartin
49,2013,Commune Bellebat
480,2013,Commune Queyrac 
1106,2013,Commune La Réole
145,2013,Commune Sigalens
205,2013,Commune Cudos
24,2013,Commune St Cibard
440,2013,Commune St Maixant
252,2013,Commune St Pierre d Aurillac
92,2013,Commune Lestiac sur Garonne
272,2013,Commune Branne
34,2013,Commune Belvès de Castillon
742,2013,Commune Martignas sur Jalles
9,2013,Commune Barie
320,2013,Commune Beautiran
53,2013,Commune Courpiac
83,2013,Commune St Martin de Sescas
339,2013,Commune Marcillac
12,2013,Commune Ligueux
108,2013,Commune Marsas
34,2013,Commune Cleyrac
48,2013,Commune Romagne
97,2013,Commune Arbanats
1149,2013,Commune Castillon la Bataille
4022,2013,Commune Cenon
180,2013,Commune Talais
3859,2013,Commune St Médard en Jalles
102,2013,Commune Le Temple
1295,2013,Commune Bazas
621,2013,Commune Grignols
614,2013,Commune Monségur
5740,2013,Commune Pessac
1865,2013,Commune Ambarès et Lagrave
12,2013,Commune Floudes
3702,2013,Commune Villenave d Ornon
36,2013,Commune St Sulpice de Pommiers
154,2013,Commune Ruch
72,2013,Commune St Genès de Castillon
173,2013,Commune Martillac
140,2013,Commune Sendets
53,2013,Commune Francs
530,2013,Commune Artigues près Bordeaux
559,2013,Commune Tresses
4479,2013,Commune Arcachon
195,2013,Commune Gensac
72,2013,Commune Eyrans
1299,2013,Commune Salles
387,2013,Commune Arsac
202,2013,Commune Louchats
362,2013,Commune St Germain d Esteuil
82,2013,Commune Le Pian sur Garonne
70,2013,Commune St Trojan
48,2013,Commune Bassanne
12,2013,Commune Lignan de Bazas
24,2013,Commune Soussac
492,2013,Commune Le Barp
24,2013,Commune Sillas
387,2013,Commune Berson
59,2013,Commune Cours de Monségur
12,2013,Commune Cadarsac
192,2013,Commune Les Billaux
146,2013,Commune Tizac de Lapouyade
