NB_PRESTATATION,ANNEE,COMMUNE
8,2010,Commune Isle St Georges
117,2010,Commune Izon
43,2010,Commune Jau Dignac et Loirac
,2010,Commune Jugazan
,2010,Commune Juillac
50,2010,Commune La Brède
55,2010,Commune La Lande de Fronsac
6,2010,Commune La Rivière
11,2010,Commune La Roquille
371,2010,Commune La Réole
24,2010,Commune La Sauve
796,2010,Commune La Teste de Buch
19,2010,Commune Labarde
,2010,Commune Labescau
175,2010,Commune Lacanau
7,2010,Commune Ladaux
10,2010,Commune Lados
62,2010,Commune Lagorce
24,2010,Commune Lalande de Pomerol
33,2010,Commune Lamarque
64,2010,Commune Lamothe Landerron
,2010,Commune Landerrouat
,2010,Commune Landerrouet sur Ségur
57,2010,Commune Landiras
83,2010,Commune Langoiran
603,2010,Commune Langon
29,2010,Commune Lansac
158,2010,Commune Lanton 
15,2010,Commune Lapouyade
,2010,Commune Laroque
,2010,Commune Lartigue
128,2010,Commune Laruscade
80,2010,Commune Latresne
7,2010,Commune Lavazan
82,2010,Commune Le Barp
677,2010,Commune Le Bouscat
17,2010,Commune Le Fieu
222,2010,Commune Le Haillan
10,2010,Commune Le Nizan
121,2010,Commune Le Pian Médoc
16,2010,Commune Le Pian sur Garonne
56,2010,Commune Le Porge
8,2010,Commune Le Pout
,2010,Commune Le Puy
234,2010,Commune Le Taillan Médoc
179,2010,Commune Le Teich
17,2010,Commune Le Temple
28,2010,Commune Le Tourne
8,2010,Commune Le Tuzan
68,2010,Commune Le Verdon sur Mer
19,2010,Commune Leogeats
29,2010,Commune Lerm et Musset
44,2010,Commune Les Artigues de Lussac
37,2010,Commune Les Billaux
199,2010,Commune Les Eglisottes et Chalaures
8,2010,Commune Les Esseintes
18,2010,Commune Les Lèves et Thoumeyragues
94,2010,Commune Les Peintures
26,2010,Commune Les Salles de castillon
429,2010,Commune Lesparre Médoc
38,2010,Commune Lestiac sur Garonne
1660,2010,Commune Libourne
7,2010,Commune Lignan de Bazas
20,2010,Commune Lignan de Bordeaux
8,2010,Commune Ligueux
64,2010,Commune Listrac Médoc
10,2010,Commune Listrac de Dureze
1820,2010,Commune Lormont
9,2010,Commune Loubens
36,2010,Commune Louchats
6,2010,Commune Loupes
29,2010,Commune Loupiac
20,2010,Commune Loupiac de la Réole
,2010,Commune Lucmau
67,2010,Commune Ludon Médoc
10,2010,Commune Lugaignac
8,2010,Commune Lugasson
29,2010,Commune Lugon et l Ile du Carney
12,2010,Commune Lugos
52,2010,Commune Lussac
204,2010,Commune Lège Cap Ferret
182,2010,Commune Léognan
100,2010,Commune Macau
,2010,Commune Madirac
32,2010,Commune Maransin
14,2010,Commune Marcenais
80,2010,Commune Marcheprime 
60,2010,Commune Marcillac
66,2010,Commune Margaux
12,2010,Commune Margueron
,2010,Commune Marimbault
11,2010,Commune Marions
30,2010,Commune Marsas
94,2010,Commune Martignas sur Jalles
39,2010,Commune Martillac
,2010,Commune Martres
,2010,Commune Masseilles
14,2010,Commune Massugas
6,2010,Commune Mauriac
24,2010,Commune Mazion
11,2010,Commune Mazères
8,2010,Commune Mesterrieux
168,2010,Commune Mios
6,2010,Commune Mombrier
34,2010,Commune Mongauzy
15,2010,Commune Monprimblanc
54,2010,Commune Monségur
57,2010,Commune Montagne
,2010,Commune Montagoudin
,2010,Commune Montignac
