Annee;Region;id_departement;Departement;Cultures;Surfaces certifiées bio;Surfaces C1;Surfaces C2;Surfaces C3
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Cultures fourragères;825;77,25;62,97;0
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Fruits;93,82;6,88;5,72;2,96
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Légumes frais;116,2;7,12;4,32;0
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Légumes secs;1,64;0;0;0
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Oléagineux;321,01;0;21,81;0
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;PPAM;3,26;0,1;0,16;0
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Protéagineux;68,2;0;0;0
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;STH;1081,52;24,91;91,7;0
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Vigne;64,23;17,26;26,8;9,44
2008;AUVERGNE;3;ALLIER;Autres;378,56;23,55;8,15;1,07
2008;AUVERGNE;3;ALLIER;Céréales;1462,07;94,27;53,76;0
2008;AUVERGNE;3;ALLIER;Cultures fourragères;3311,36;99,74;246,54;0
2008;AUVERGNE;3;ALLIER;Fruits;5,4;0;0;0
2008;AUVERGNE;3;ALLIER;Légumes frais;31,21;0;0;0
2008;AUVERGNE;3;ALLIER;Oléagineux;212,33;0,46;2;0
2008;AUVERGNE;3;ALLIER;PPAM;9,75;0;0;0
2008;AUVERGNE;3;ALLIER;Protéagineux;75,69;0;0;0
2008;AUVERGNE;3;ALLIER;STH;3369,86;199,14;287,11;0
2008;AUVERGNE;3;ALLIER;Vigne;s;s;s;s
2008;AUVERGNE;15;CANTAL;Autres;33,69;0,13;0,1;0
2008;AUVERGNE;15;CANTAL;Céréales;92,98;10,85;6,5;0
2008;AUVERGNE;15;CANTAL;Cultures fourragères;613,64;17,31;29,99;0
2008;AUVERGNE;15;CANTAL;Fruits;6,04;0,23;0;0
2008;AUVERGNE;15;CANTAL;Légumes frais;4,22;0,09;0;0
2008;AUVERGNE;15;CANTAL;Oléagineux;s;s;s;s
2008;AUVERGNE;15;CANTAL;PPAM;1,22;0;0;0
2008;AUVERGNE;15;CANTAL;STH;4122,29;55,86;84,55;0
2008;AUVERGNE;15;CANTAL;Vigne;s;s;s;s
2008;AUVERGNE;43;HAUTE-LOIRE;Autres;240,81;21,6;0,7;0
2008;AUVERGNE;43;HAUTE-LOIRE;Céréales;610,73;56,03;29,9;0
2008;AUVERGNE;43;HAUTE-LOIRE;Cultures fourragères;1088,67;155,58;15,36;0
2008;AUVERGNE;43;HAUTE-LOIRE;Fruits;6,28;0;0,4;0
2008;AUVERGNE;43;HAUTE-LOIRE;Légumes frais;20,95;0;4,83;0
2008;AUVERGNE;43;HAUTE-LOIRE;Légumes secs;74,19;7,37;0;0
2008;AUVERGNE;43;HAUTE-LOIRE;Oléagineux;2,91;0;7;0
2008;AUVERGNE;43;HAUTE-LOIRE;PPAM;11,75;0;1,13;0
2008;AUVERGNE;43;HAUTE-LOIRE;STH;3313,06;277,11;49,19;0
2008;AUVERGNE;63;PUY-DE-DOME;Autres;203,51;4,4;17,56;0
2008;AUVERGNE;63;PUY-DE-DOME;Céréales;746,23;1,51;160,5;0
2008;AUVERGNE;63;PUY-DE-DOME;Cultures fourragères;1122,6;54,16;114,09;0
2008;AUVERGNE;63;PUY-DE-DOME;Fruits;21,65;0;1,19;0,26
2008;AUVERGNE;63;PUY-DE-DOME;Légumes frais;34;0;1,35;0
2008;AUVERGNE;63;PUY-DE-DOME;Légumes secs;s;s;s;s
2008;AUVERGNE;63;PUY-DE-DOME;Oléagineux;104,24;0;4;0
2008;AUVERGNE;63;PUY-DE-DOME;PPAM;21,14;0;0,3;0,22
2008;AUVERGNE;63;PUY-DE-DOME;Protéagineux;42,06;0;5;0
2008;AUVERGNE;63;PUY-DE-DOME;STH;2977,77;291,18;185,64;0
2008;AUVERGNE;63;PUY-DE-DOME;Vigne;12,72;0,6;6,47;0
2008;BASSE-NORMANDIE;14;CALVADOS;Autres;87,68;5,65;11,93;0
2008;BASSE-NORMANDIE;14;CALVADOS;Céréales;258,43;66,05;33,27;0
2008;BASSE-NORMANDIE;14;CALVADOS;Cultures fourragères;910,8;143,06;42,38;0
2008;BASSE-NORMANDIE;14;CALVADOS;Fruits;310;15,73;34,03;0
2008;BASSE-NORMANDIE;14;CALVADOS;Légumes frais;54,09;1,72;1,14;0
2008;BASSE-NORMANDIE;14;CALVADOS;Oléagineux;s;s;s;s
2008;BASSE-NORMANDIE;14;CALVADOS;PPAM;s;s;s;s
2008;BASSE-NORMANDIE;14;CALVADOS;Protéagineux;29,32;3,2;0;0
2008;BASSE-NORMANDIE;14;CALVADOS;STH;4970,68;753,86;88,39;0
2008;BASSE-NORMANDIE;50;MANCHE;Autres;69,84;11;17,65;0
2008;BASSE-NORMANDIE;50;MANCHE;Céréales;320,46;33,34;28,76;0
2008;BASSE-NORMANDIE;50;MANCHE;Cultures fourragères;1168,41;27,52;256,19;0
2008;BASSE-NORMANDIE;50;MANCHE;Fruits;96,36;32,46;19,77;4,26
2008;BASSE-NORMANDIE;50;MANCHE;Légumes frais;269,98;2,31;4,17;0
2008;BASSE-NORMANDIE;50;MANCHE;Oléagineux;s;s;s;s
2008;BASSE-NORMANDIE;50;MANCHE;PPAM;s;s;s;s
2008;BASSE-NORMANDIE;50;MANCHE;Protéagineux;s;s;s;s
2008;BASSE-NORMANDIE;50;MANCHE;STH;5155,79;382,95;262,86;0
2008;BASSE-NORMANDIE;61;ORNE;Autres;404,91;10,26;6,23;0
2008;BASSE-NORMANDIE;61;ORNE;Céréales;1487,13;100,11;81,39;0
2008;BASSE-NORMANDIE;61;ORNE;Cultures fourragères;1949,87;105,06;153,58;0
