NB_PRESTATION,ANNEE,CANTON
336,2012,Canton St Laurent du Médoc
413,2012,Canton St Macaire
1189,2012,Canton St Médard en Jalles
1045,2012,Canton St Savin
181,2012,Canton St Symphorien
418,2012,Canton St Vivien du Médoc
845,2012,Canton Ste Foy la Grande
2930,2012,Canton Talence
206,2012,Canton Targon
186,2012,Canton Villandraut
991,2012,Canton Villenave d'Ornon
